country,code,date,newCases
Spain,ESP,2022-01-01,70401.1344
Spain,ESP,2022-01-02,113746.39680000002
Spain,ESP,2022-01-03,113746.39680000002
Spain,ESP,2022-01-04,113746.39680000002
Spain,ESP,2022-01-05,113746.39680000002
Spain,ESP,2022-01-06,113746.39680000002
Spain,ESP,2022-01-07,113746.39680000002
Spain,ESP,2022-01-08,113746.39680000002
Spain,ESP,2022-01-09,127957.488
Spain,ESP,2022-01-10,127957.488
Spain,ESP,2022-01-11,127957.488
Spain,ESP,2022-01-12,127957.488
Spain,ESP,2022-01-13,127957.488
Spain,ESP,2022-01-14,127957.488
Spain,ESP,2022-01-15,127957.488
Spain,ESP,2022-01-16,137134.008
Spain,ESP,2022-01-17,137134.008
Spain,ESP,2022-01-18,137134.008
Spain,ESP,2022-01-19,137134.008
Spain,ESP,2022-01-20,137134.008
Spain,ESP,2022-01-21,137134.008
Spain,ESP,2022-01-22,137134.008
Spain,ESP,2022-01-23,121489.9344
Spain,ESP,2022-01-24,121489.9344
Spain,ESP,2022-01-25,121489.9344
Spain,ESP,2022-01-26,121489.9344
Spain,ESP,2022-01-27,121489.9344
Spain,ESP,2022-01-28,121489.9344
Spain,ESP,2022-01-29,121489.9344
Spain,ESP,2022-01-30,89710.3104
Spain,ESP,2022-01-31,89710.3104
Spain,ESP,2022-02-01,89710.3104
Spain,ESP,2022-02-02,89710.3104
Spain,ESP,2022-02-03,89710.3104
Spain,ESP,2022-02-04,89710.3104
Spain,ESP,2022-02-05,89710.3104
Spain,ESP,2022-02-06,55020.71519999999
Spain,ESP,2022-02-07,55020.71519999999
Spain,ESP,2022-02-08,55020.71519999999
Spain,ESP,2022-02-09,55020.71519999999
Spain,ESP,2022-02-10,55020.71519999999
Spain,ESP,2022-02-11,55020.71519999999
Spain,ESP,2022-02-12,55020.71519999999
Spain,ESP,2022-02-13,35115.4032
Spain,ESP,2022-02-14,35115.4032
Spain,ESP,2022-02-15,35115.4032
Spain,ESP,2022-02-16,35115.4032
Spain,ESP,2022-02-17,35115.4032
Spain,ESP,2022-02-18,35115.4032
Spain,ESP,2022-02-19,35115.4032
Spain,ESP,2022-02-20,22785.03504
Spain,ESP,2022-02-21,22785.03504
Spain,ESP,2022-02-22,22785.03504
Spain,ESP,2022-02-23,22785.03504
Spain,ESP,2022-02-24,22785.03504
Spain,ESP,2022-02-25,22785.03504
Spain,ESP,2022-02-26,22785.03504
Spain,ESP,2022-02-27,16909.74336
