date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-01-03,29808,3,3653.938306625491,34124,9.33896446421243,100121
2022-01-04,31446,4,3670.5269444829974,35367,9.635401274783865,100575
2022-01-05,34466,5,3693.9079292514134,36930,9.997542090196067,101216
2022-01-06,37727,6,3723.7579137732464,38828,10.427101035860835,102034
2022-01-07,39844,7,3756.975502005901,41036,10.922615805743293,102944
2022-01-08,43688,8,3786.961104305533,43490,11.484142245494587,103766
2022-01-09,46948,9,3804.6157665618584,46120,12.122117667003614,104249
2022-01-10,48256,10,3801.342440436356,48876,12.857563023022342,104160
2022-01-11,50795,11,3772.9816560305017,51748,13.715412561651123,103383
2022-01-12,53882,12,3723.0227178401806,54743,14.703912425159144,102014
2022-01-13,57300,13,3663.7933210041174,57874,15.796196709081494,100391
2022-01-14,61272,14,3614.9022781849835,61154,16.917193133836243,99051
2022-01-15,64830,15,3598.8157894385004,64628,17.958129501839128,98610
2022-01-16,67732,16,3634.436794597297,68399,18.819697209118406,99586
2022-01-17,69428,17,3730.7997881569568,72615,19.463655013198217,102227
2022-01-18,73573,18,3883.638065457848,77422,19.935431339138603,106415
2022-01-19,79382,19,4076.7580231805696,82888,20.331842000112914,111706
2022-01-20,86772,20,4287.926808129139,88964,20.747555632558893,117493
2022-01-21,95414,21,4496.615715908175,95501,21.23841707489825,123211
2022-01-22,104458,22,4690.057135082931,102321,21.816578573128773,128511
2022-01-23,110020,23,4865.261017246616,109294,22.46415960265426,133312
2022-01-24,113778,24,5026.942268406154,116350,23.14528271614506,137742
2022-01-25,121850,25,5183.1148655000525,123438,23.815408919765673,142021
2022-01-26,131374,26,5340.522505491547,130457,24.427759618249677,146335
2022-01-27,139186,27,5501.4479741871555,137236,24.945432664984306,150744
2022-01-28,146974,28,5662.644454736127,143584,25.356350932453317,155161
2022-01-29,153222,29,5816.566971167499,149370,25.68009630773984,159379
2022-01-30,157297,30,5954.526766156578,154589,25.96159293105023,163159
2022-01-31,159142,31,6070.669929387266,159357,26.250315344699438,166341
2022-02-01,161975,32,6165.1865330222645,163828,26.57308081799256,168931
2022-02-02,167314,33,6245.455589865551,168101,26.915730579011097,171130
2022-02-03,173684,34,6324.867591879545,172163,27.220016466595904,173306
2022-02-04,179106,35,6420.071170567788,175915,27.40078658418395,175915
2022-02-05,182240,36,6547.678619317825,179244,27.375198207066962,179412
2022-02-06,183450,37,6721.099301991639,182082,27.0911039725368,184163
2022-02-07,184593,38,6947.725268811452,184412,26.542788159432703,190373
2022-02-08,187316,39,7226.574074361915,186233,25.770579265313046,198014
2022-02-09,190199,40,7546.668556388667,187525,24.848712859033654,206785
2022-02-10,191340,41,7886.69166295977,188245,23.868690199225334,216102
2022-02-11,190346,42,8216.624411181401,188356,22.923769004663296,225142
2022-02-12,189890,43,8501.938259332097,187853,22.095314535341913,232960
2022-02-13,188320,44,8710.19390871459,186778,21.443609861903045,238666
2022-02-14,187071,45,8818.642383384546,185210,21.002098956746384,241638
2022-02-15,184274,46,8820.333614184612,183258,20.77676514472079,241684
2022-02-16,181100,47,8726.277824317423,181051,20.747792317070992,239107
2022-02-17,178613,48,8562.670021076792,178718,20.871760742862943,234624
2022-02-18,176192,49,8364.294034588687,176374,21.08653752135498,229188
2022-02-19,172214,50,8166.756089557632,174092,21.31715433776718,223776
2022-02-20,171832,51,8000.441701180823,171891,21.485188745845097,219218
2022-02-21,170423,52,7888.056904918013,169750,21.519875179166743,216139
2022-02-22,167726,53,7845.714503453761,167631,21.365931672151362,214979
2022-02-23,166294,54,7885.438952001254,165518,20.99033433744269,216067
2022-02-24,163204,55,8015.824360469659,163428,20.38817127854639,219640
2022-02-25,159912,56,8238.667886936488,161408,19.59151676157914,225746
2022-02-26,158916,57,8542.870053899307,159520,18.672881478185275,234081
2022-02-27,157346,58,8900.596739668825,157829,17.7324065583801,243883
2022-02-28,156103,59,9271.093979502475,156427,16.872550353372052,254035
2022-03-01,154540,60,9613.016067177203,155440,16.169743076861817,263404
2022-03-02,151010,61,9899.553576935497,155034,15.660706191964696,271256
2022-03-03,150604,62,10127.548341303882,155373,15.34162017932134,277503
2022-03-04,153834,63,10315.044787721923,156587,15.180447901339868,282640
2022-03-05,156456,64,10488.722853841035,158743,15.13463576186183,287399
2022-03-06,158414,65,10668.074115041663,161853,15.171716867976398,292314
2022-03-07,161885,66,10854.009509791224,165870,15.28191032543056,297408
2022-03-08,167223,67,11026.703398566982,170673,15.478152792445698,302140
2022-03-09,174895,68,11153.291993181276,176058,15.785294611459609,305609
2022-03-10,182870,69,11202.106865722973,181755,16.225072852692314,306947
2022-03-11,188800,70,11157.266869642508,187492,16.804473908403292,305718
2022-03-12,195723,71,11026.912026640779,193065,17.508528183915786,302146
2022-03-13,200510,72,10841.280511584831,198385,18.299037626414034,297060
2022-03-14,201820,73,10642.280027365156,203448,19.116956091820693,291607
2022-03-15,207794,74,10470.711599177273,208270,19.89072070482436,286906
2022-03-16,213110,75,10357.506931329004,212802,20.545677778532244,283804
2022-03-17,219652,76,10321.332152938003,216922,21.016860690628235,282813
2022-03-18,225432,77,10370.29815663075,220489,21.261587340092024,284154
2022-03-19,227700,78,10503.937354661775,223422,21.270309642587748,287816
2022-03-20,225874,79,10713.510692358572,225743,21.070870836112718,293559
2022-03-21,225909,80,10981.571922962848,227531,20.719347065808016,300904
2022-03-22,230156,81,11282.839516450349,228847,20.282748829879367,309159
2022-03-23,232986,82,11587.269950513313,229671,19.82097603498274,317500
2022-03-24,233082,83,11864.374671243906,229917,19.37877101582587,325093
2022-03-25,231856,84,12087.12293453006,229471,18.984749410006867,331197
2022-03-26,230364,85,12234.588985449616,228233,18.654733744748885,335237
2022-03-27,229650,86,12293.668014620878,226124,18.393533950247427,336856
2022-03-28,226859,87,12260.460526676488,223094,18.196216978521225,335946
2022-03-29,222448,88,12141.264062335122,219127,18.048120761970765,332680
2022-03-30,218070,89,11952.445770937924,214275,17.92729321734338,327506
2022-03-31,211176,90,11718.538764070643,208663,17.806230298931673,321097
2022-04-01,203370,91,11468.62134364888,202475,17.654693963030446,314249
2022-04-02,194460,92,11231.851376397306,195892,17.44075784439677,307762
2022-04-03,187990,93,11033.481144128933,189045,17.13375837875007,302326
2022-04-04,184688,94,10892.510150237387,182001,16.708820785081713,298463
2022-04-05,177304,95,10821.254566177126,174828,16.15598255552011,296511
2022-04-06,168188,96,10825.860272889631,167674,15.488284143098825,296637
2022-04-07,158034,97,10906.095012074158,160792,14.743315533377151,298836
2022-04-08,148861,98,11053.572756190646,154480,13.97557182708027,302877
2022-04-09,143293,99,11249.719825890696,148951,13.240418633110876,308251
2022-04-10,140878,100,11466.545439602487,144219,12.577371341668853,314192
2022-04-11,140324,101,11672.565081229714,140084,12.001132486745753,319837
2022-04-12,138220,102,11842.843603425834,136208,11.501291797908948,324503
2022-04-13,134206,103,11968.52124606944,132247,11.049568888339568,327947
2022-04-14,129962,104,12060.484058536196,127962,10.610021901188183,330467
2022-04-15,127592,105,12144.88113253063,123285,10.151190337283365,332779
2022-04-16,115901,106,12252.719281613585,118334,9.657774513578538,335734
2022-04-17,112478,107,12408.557479270545,113388,9.137887316025527,340004
2022-04-18,111260,108,12622.876907693882,108848,8.623073867864075,345877
2022-04-19,96486,109,12889.997487378327,105164,8.158574127184654,353196
2022-04-20,93106,110,13190.625724051604,102708,7.786438805001013,361434
2022-04-21,96051,111,13496.85148140496,101646,7.531089761196596,369824
2022-04-22,96770,112,13777.75698111384,101843,7.391841802668134,377521
2022-04-23,105143,113,14004.692865753559,102881,7.346180382975804,383740
2022-04-24,105503,114,14155.684633312296,104150,7.357468232578864,387877
2022-04-25,104476,115,14218.330568452871,104988,7.383989245048477,389593
2022-04-26,116172,116,14190.67989121463,104841,7.388018107920712,388836
2022-04-27,113436,117,14080.331295167285,103403,7.343790272569115,385812
2022-04-28,104336,118,13902.81550739519,100700,7.2431371865961705,380948
2022-04-29,95628,119,13680.376596383812,97052,7.094249147034017,374853
2022-04-30,89755,120,13441.426799979687,92919,6.912882194927433,368306
2022-05-01,86840,121,13219.930499507052,88716,6.710776581110473,362236
2022-05-02,85250,122,13053.500852910847,84707,6.4892170272552505,357676
