t,t_sd,phi,sampleSize,num_mut,daysPerBin,haplotypes,n_mut_types,binning,date
1,0.08926293455821277,959.1802734375017,250,250,2,235,829,eq_size_250,2022-01-02
2,0.8836939612706409,3209.5147460937565,650,650,3,629,2208,eq_size_650,2022-01-03
2,0.8780951335333474,4271.996191406259,850,850,3,823,2753,eq_size_850,2022-01-03
3,0.0,10555.503125000017,1061,1061,1,1011,3219,eq_size_250,2022-01-04
4,1.6767425552361093,3338.0607421875065,3849,3849,7,3563,6436,eq_days_7,2022-01-05
4,0.0,10234.655468750017,583,583,1,567,1954,eq_size_250,2022-01-05
4,0.30429348353184904,4009.7366210937575,650,650,2,625,2059,eq_size_650,2022-01-05
4,0.464436774336463,4879.3470703125095,850,850,2,815,2464,eq_size_850,2022-01-05
5,0.0,6925.983984375012,791,791,1,749,2105,eq_size_250,2022-01-06
6,0.0,5733.418945312512,529,529,1,506,1758,eq_size_250,2022-01-07
6,0.3895305234293982,2891.8666992187555,650,650,2,616,2045,eq_size_650,2022-01-07
6,0.4850841051474708,3824.259082031258,850,850,2,806,2422,eq_size_850,2022-01-07
7,0.0,6451.464160156262,494,494,1,476,1674,eq_size_250,2022-01-08
8,3.9446884399632576,2869.929003906255,8813,8813,14,7968,12360,eq_days_14,2022-01-09
8,0.3849581419899277,3823.1398437500084,250,250,2,246,3175,eq_size_250,2022-01-09
9,0.8405011487872669,5546.020996093761,850,850,3,829,4764,eq_size_850,2022-01-10
9,0.8641298503383787,3768.264257812508,650,650,3,632,4273,eq_size_650,2022-01-10
10,0.0,18364.088574218782,1174,1174,1,1138,2768,eq_size_250,2022-01-11
11,0.0,8130.052929687516,1037,1037,1,976,2170,eq_size_250,2022-01-12
11,0.0,8130.052929687516,1037,1037,1,976,2170,eq_size_650,2022-01-12
11,0.0,8130.052929687516,1037,1037,1,976,2170,eq_size_850,2022-01-12
12,0.0,6495.010839843762,738,738,1,699,1528,eq_size_650,2022-01-13
12,1.6340429319014624,4000.868066406258,4964,4964,7,4570,9391,eq_days_7,2022-01-13
12,0.33843391997181194,3645.8902343750074,850,850,2,804,1759,eq_size_850,2022-01-13
12,0.0,6495.010839843762,738,738,1,699,1528,eq_size_250,2022-01-13
13,0.0,13735.663671875027,912,912,1,883,2072,eq_size_650,2022-01-14
13,0.0,13735.663671875027,912,912,1,883,2072,eq_size_250,2022-01-14
13,5.9613046961361675,2925.142578125005,15248,15248,21,13620,15169,eq_days_21,2022-01-14
14,0.0,15786.371093750025,744,744,1,727,2547,eq_size_650,2022-01-15
14,0.33057963241760996,9224.307519531267,850,850,2,831,2880,eq_size_850,2022-01-15
14,0.0,15786.371093750025,744,744,1,727,2547,eq_size_250,2022-01-15
15,0.0,5688.586523437511,344,344,1,334,1112,eq_size_250,2022-01-16
16,0.08926293455821277,1870.2399414062534,250,250,2,242,816,eq_size_250,2022-01-17
16,0.652316011405912,2284.803515625005,650,650,3,621,1698,eq_size_650,2022-01-17
17,0.45484222784118467,4472.092773437509,850,850,2,812,1847,eq_size_850,2022-01-18
18,0.0,13290.649511718775,1111,1111,1,1067,1908,eq_size_250,2022-01-19
18,0.0,13290.649511718775,1111,1111,1,1067,1908,eq_size_850,2022-01-19
18,0.0,13290.649511718775,1111,1111,1,1067,1908,eq_size_650,2022-01-19
19,0.0,8036.247949218765,1040,1040,1,978,1861,eq_size_850,2022-01-20
19,0.0,8036.247949218765,1040,1040,1,978,1861,eq_size_650,2022-01-20
19,1.7351319138140862,5252.36425781251,6435,6435,7,5930,6993,eq_days_7,2022-01-20
19,0.0,8036.247949218765,1040,1040,1,978,1861,eq_size_250,2022-01-20
20,0.0,16497.10986328128,1015,1015,1,985,1939,eq_size_250,2022-01-21
20,0.0,16497.10986328128,1015,1015,1,985,1939,eq_size_650,2022-01-21
20,0.0,16497.10986328128,1015,1015,1,985,1939,eq_size_850,2022-01-21
21,0.0,25782.20332031255,1198,1198,1,1171,2479,eq_size_250,2022-01-22
21,0.0,25782.20332031255,1198,1198,1,1171,2479,eq_size_650,2022-01-22
21,0.0,25782.20332031255,1198,1198,1,1171,2479,eq_size_850,2022-01-22
22,3.8243904685087133,4542.575292968761,13260,13260,14,12044,10644,eq_days_14,2022-01-23
22,0.0,10391.571093750015,291,291,1,287,1354,eq_size_250,2022-01-23
23,0.43729728522213673,3041.945898437505,250,250,2,245,734,eq_size_250,2022-01-24
23,0.879078522098543,5546.020996093761,850,850,3,829,2167,eq_size_850,2022-01-24
23,0.8257960267955267,3768.264257812508,650,650,3,632,1929,eq_size_650,2022-01-24
25,1.5770709077448508,6590.452148437512,6825,6825,7,6365,7121,eq_days_7,2022-01-26
25,0.0,15953.92685546878,1336,1336,1,1283,2121,eq_size_250,2022-01-26
25,0.0,15953.92685546878,1336,1336,1,1283,2121,eq_size_850,2022-01-26
25,0.0,15953.92685546878,1336,1336,1,1283,2121,eq_size_650,2022-01-26
26,0.0,21593.37773437504,1271,1271,1,1235,2105,eq_size_850,2022-01-27
26,0.0,21593.37773437504,1271,1271,1,1235,2105,eq_size_650,2022-01-27
26,0.0,21593.37773437504,1271,1271,1,1235,2105,eq_size_250,2022-01-27
27,0.0,17396.340332031286,1237,1237,1,1195,2118,eq_size_650,2022-01-28
27,0.0,17396.340332031286,1237,1237,1,1195,2118,eq_size_850,2022-01-28
27,0.0,17396.340332031286,1237,1237,1,1195,2118,eq_size_250,2022-01-28
28,0.0,22100.039062500044,796,796,1,782,2028,eq_size_650,2022-01-29
28,0.2440563465918997,6665.238378906261,850,850,2,824,2086,eq_size_850,2022-01-29
28,0.0,22100.039062500044,796,796,1,782,2028,eq_size_250,2022-01-29
29,0.47355076385245254,7328.758496093764,650,650,2,636,1950,eq_size_650,2022-01-30
29,0.0,8959.451367187514,430,430,1,420,1237,eq_size_250,2022-01-30
30,0.0,36810.77792968757,272,272,1,271,1114,eq_size_250,2022-01-31
31,0.0,16594.879589843782,1388,1388,1,1333,2132,eq_size_250,2022-02-01
31,0.0,16594.879589843782,1388,1388,1,1333,2132,eq_size_650,2022-02-01
31,0.4667507916771072,10342.616210937518,850,850,2,833,1988,eq_size_850,2022-02-01
32,0.0,16195.114355468782,1209,1209,1,1166,2082,eq_size_250,2022-02-02
32,0.0,16195.114355468782,1209,1209,1,1166,2082,eq_size_850,2022-02-02
32,0.0,16195.114355468782,1209,1209,1,1166,2082,eq_size_650,2022-02-02
33,0.0,21280.63496093754,936,936,1,916,1760,eq_size_650,2022-02-03
33,0.0,21280.63496093754,936,936,1,916,1760,eq_size_250,2022-02-03
33,1.785609178437092,7423.019238281264,7150,7150,7,6699,7722,eq_days_7,2022-02-03
33,6.065025280249281,5100.533593750009,22269,22269,21,20232,15612,eq_days_21,2022-02-03
33,0.0,21280.63496093754,936,936,1,916,1760,eq_size_850,2022-02-03
34,0.0,21104.842675781285,1440,1440,1,1393,2576,eq_size_850,2022-02-04
34,0.0,21104.842675781285,1440,1440,1,1393,2576,eq_size_250,2022-02-04
34,0.0,21104.842675781285,1440,1440,1,1393,2576,eq_size_650,2022-02-04
35,0.0,16856.512011718783,1475,1475,1,1414,2982,eq_size_250,2022-02-05
35,0.0,16856.512011718783,1475,1475,1,1414,2982,eq_size_850,2022-02-05
35,0.0,16856.512011718783,1475,1475,1,1414,2982,eq_size_650,2022-02-05
36,0.4976393246874761,5652.396386718761,650,650,2,632,2194,eq_size_650,2022-02-06
36,3.873628795894707,6205.757910156261,15444,15444,14,14215,13159,eq_days_14,2022-02-06
36,0.0,4365.131445312508,359,359,1,345,1267,eq_size_250,2022-02-06
37,0.0,15402.334179687532,306,306,1,303,1291,eq_size_250,2022-02-07
37,0.7738216669787249,6149.538378906262,850,850,3,831,2501,eq_size_850,2022-02-07
