t,date,smoothed_phi
2,2022-01-03,3632.187331431977
3,2022-01-04,3616.4101564334132
4,2022-01-05,3618.208171509435
5,2022-01-06,3656.494409349096
6,2022-01-07,3737.25704229615
7,2022-01-08,3835.2726832723893
8,2022-01-09,3912.5672843263137
9,2022-01-10,3943.922966610836
10,2022-01-11,3916.52277969767
11,2022-01-12,3825.124098617568
12,2022-01-13,3676.895715360448
13,2022-01-14,3499.6056239768322
14,2022-01-15,3345.61426991549
15,2022-01-16,3287.762012937689
16,2022-01-17,3395.209959093391
17,2022-01-18,3681.0018119468687
18,2022-01-19,4063.53930508896
19,2022-01-20,4413.258009133437
20,2022-01-21,4655.685913829984
21,2022-01-22,4805.38766043001
22,2022-01-23,4913.438138073881
23,2022-01-24,5019.226450789392
24,2022-01-25,5141.162787847608
25,2022-01-26,5284.793045733848
26,2022-01-27,5452.461366621948
27,2022-01-28,5651.778818334613
28,2022-01-29,5889.088044425994
29,2022-01-30,6109.9975206739
30,2022-01-31,6222.179634390381
31,2022-02-01,6251.472387600141
32,2022-02-02,6257.698438397292
33,2022-02-03,6266.889439940589
34,2022-02-04,6294.107336882115
35,2022-02-05,6358.826582987207
36,2022-02-06,6486.622636817189
37,2022-02-07,6701.72380797513
38,2022-02-08,7014.426158019511
39,2022-02-09,7412.278899051592
40,2022-02-10,7865.522417809967
41,2022-02-11,8344.453569347654
42,2022-02-12,8816.963780371556
43,2022-02-13,9197.74501282135
44,2022-02-14,9357.788919918385
45,2022-02-15,9269.566036699123
46,2022-02-16,9011.58052202082
47,2022-02-17,8664.3610099761
48,2022-02-18,8294.08178792298
49,2022-02-19,7969.184380275179
50,2022-02-20,7746.24304505709
51,2022-02-21,7636.921484936447
52,2022-02-22,7608.485473300237
53,2022-02-23,7622.397593416397
54,2022-02-24,7666.624202723708
55,2022-02-25,7776.660184083989
56,2022-02-26,8071.265920145901
57,2022-02-27,8727.050707792008
58,2022-02-28,9606.46498812516
59,2022-03-01,10176.141919475444
60,2022-03-02,10331.5234049314
61,2022-03-03,10297.017667376731
62,2022-03-04,10241.931912224562
63,2022-03-05,10267.517147926881
64,2022-03-06,10433.875059797107
65,2022-03-07,10747.653063406757
66,2022-03-08,11154.189773390342
67,2022-03-09,11553.877134820797
68,2022-03-10,11811.446759519278
69,2022-03-11,11751.961615923421
70,2022-03-12,11302.751078430596
71,2022-03-13,10740.694021585781
72,2022-03-14,10366.357931864093
73,2022-03-15,10179.150370233241
74,2022-03-16,10086.342606760967
75,2022-03-17,10041.559219762368
76,2022-03-18,10050.542748690179
77,2022-03-19,10156.903849308663
78,2022-03-20,10413.316421502257
79,2022-03-21,10822.89042451817
80,2022-03-22,11302.324223134894
81,2022-03-23,11740.8250344342
82,2022-03-24,12087.441718436155
83,2022-03-25,12359.05707655915
84,2022-03-26,12576.237223948132
85,2022-03-27,12689.553925451495
86,2022-03-28,12636.234382608991
87,2022-03-29,12436.969179439013
88,2022-03-30,12138.432015735532
89,2022-03-31,11774.845916575487
90,2022-04-01,11386.900895069026
91,2022-04-02,11033.623653636998
92,2022-04-03,10773.107499625783
93,2022-04-04,10625.788495169889
94,2022-04-05,10568.240138945272
95,2022-04-06,10567.618667762015
96,2022-04-07,10615.584607648098
97,2022-04-08,10746.838926537963
98,2022-04-09,11040.070250652156
99,2022-04-10,11524.918610088
100,2022-04-11,12006.452870882706
101,2022-04-12,12242.95142220338
102,2022-04-13,12234.27680549779
103,2022-04-14,12100.070282168834
104,2022-04-15,11963.28491392572
105,2022-04-16,11933.332085566415
106,2022-04-17,12071.029738161846
107,2022-04-18,12362.57189871887
108,2022-04-19,12746.261980125755
109,2022-04-20,13161.560516079138
110,2022-04-21,13580.04652566966
111,2022-04-22,13995.500953102091
112,2022-04-23,14355.619819150701
113,2022-04-24,14554.97827032988
114,2022-04-25,14579.7269076351
115,2022-04-26,14491.193940114039
116,2022-04-27,14326.19199576547
117,2022-04-28,14091.77266202954
118,2022-04-29,13788.397248243586
119,2022-04-30,13428.364630059436
120,2022-05-01,13049.774691551644
121,2022-05-02,12716.706579467058
122,2022-05-03,12493.82229950084
123,2022-05-04,12424.728478756591
124,2022-05-05,12553.543892072139
125,2022-05-06,12945.10046489937
126,2022-05-07,13636.937314449508
127,2022-05-08,14551.079766625891
128,2022-05-09,15446.493008739644
129,2022-05-10,15952.548253328543
130,2022-05-11,15747.35189051811
131,2022-05-12,14886.63161825892
132,2022-05-13,13869.500889256491
133,2022-05-14,13173.91859629334
134,2022-05-15,12915.694645652147
135,2022-05-16,12970.835075254474
136,2022-05-17,13178.2989169879
137,2022-05-18,13413.427092560605
138,2022-05-19,13568.715173041164
139,2022-05-20,13493.67273356503
140,2022-05-21,12964.334189924215
141,2022-05-22,11821.09408274716
142,2022-05-23,10195.632452353993
143,2022-05-24,8445.795499866315
144,2022-05-25,6888.249690035202
145,2022-05-26,5675.9483372972045
146,2022-05-27,4818.742697561343
147,2022-05-28,4249.476305846258
148,2022-05-29,3884.334640395557
149,2022-05-30,3653.3758422147125
150,2022-05-31,3504.599311958813
151,2022-06-01,3394.5776050721474
152,2022-06-02,3274.4198352367475
153,2022-06-03,3093.668342217788
154,2022-06-04,2869.5083542273915
155,2022-06-05,2707.6951766213406
156,2022-06-06,2653.884100594094
157,2022-06-07,2679.736079428559
158,2022-06-08,2760.3702154715593
159,2022-06-09,2886.736329939609
160,2022-06-10,3050.7536938963235
161,2022-06-11,3234.9048186807067
162,2022-06-12,3416.066007893976
163,2022-06-13,3582.3545327525435
164,2022-06-14,3746.076512886588
165,2022-06-15,3931.5966839861335
166,2022-06-16,4137.586982996779
167,2022-06-17,4316.743859014383
168,2022-06-18,4414.923670016168
169,2022-06-19,4422.745324150953
170,2022-06-20,4376.530757799641
171,2022-06-21,4325.553281740346
172,2022-06-22,4303.525251388285
173,2022-06-23,4318.131854792153
