date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-01-03,246602.42857142855,3,520.0559604701458,246944,474.8412070438639,678432
2022-01-04,246602.42857142855,4,510.70785552126966,247373,484.37281182509156,666237
2022-01-05,246602.42857142855,5,499.71217913371333,248237,496.75995576160767,651892
2022-01-06,246602.42857142855,6,487.4891200669473,249826,512.4750270645859,635947
2022-01-07,246602.42857142855,7,474.75265029356126,252440,531.729522402676,619332
2022-01-08,246602.42857142855,8,462.17922505468397,256233,554.4018123481926,602929
2022-01-09,246602.42857142855,9,449.88856586526055,261052,580.2592459711096,586896
2022-01-10,280273.14285714284,10,437.11319443480295,266443,609.551492364619,570230
2022-01-11,280273.14285714284,11,422.41583964925485,271916,643.716391472868,551057
2022-01-12,280273.14285714284,12,404.4179103623361,277314,685.7114704725664,527578
2022-01-13,280273.14285714284,13,382.6106672443719,283011,739.6840292987494,499129
2022-01-14,280273.14285714284,14,357.7749506577244,289710,809.7548457973496,466730
2022-01-15,280273.14285714284,15,331.8124420318294,297942,897.9229295187781,432861
2022-01-16,280273.14285714284,16,307.15334351180337,307564,1001.3369754777905,400693
2022-01-17,345291.8571428572,17,286.10775252327846,317647,1110.2355570534755,373238
2022-01-18,345291.8571428572,18,270.4623288121244,326840,1208.4492558926318,352828
2022-01-19,345291.8571428572,19,261.3845455511675,333980,1277.7343025225703,340986
2022-01-20,345291.8571428572,20,259.4930440895886,338518,1304.535931541689,338518
2022-01-21,345291.8571428572,21,264.9230923804515,340570,1285.5428982797514,345602
2022-01-22,345291.8571428572,22,277.3275336773088,340667,1228.3922749494877,361784
2022-01-23,345291.8571428572,23,295.8667206746794,339451,1147.3105161200058,385969
2022-01-24,332767.71428571426,24,319.255654314599,337429,1056.9241153282528,416480
2022-01-25,332767.71428571426,25,345.8713392661492,334785,967.9466379328463,451202
2022-01-26,332767.71428571426,26,373.8713307283822,331245,885.9866290219769,487729
2022-01-27,332767.71428571426,27,401.2957536602838,326101,812.6201112909363,523505
2022-01-28,332767.71428571426,28,426.1847764777273,318506,747.3425086469397,555973
2022-01-29,332767.71428571426,29,446.75588593457434,308018,689.4548224152732,582809
2022-01-30,332767.71428571426,30,461.61860236793785,295063,639.1921783187087,602198
2022-01-31,243941.14285714287,31,469.92809234991296,280922,597.7978430598331,613038
2022-02-01,243941.14285714287,32,471.390448280758,267090,566.600364886737,614946
2022-02-02,243941.14285714287,33,466.13901430740555,254368,545.6912899211897,608095
2022-02-03,243941.14285714287,34,454.60235743791554,242354,533.1120616397111,593045
2022-02-04,243941.14285714287,35,437.4765060964554,229756,525.1847740352555,570704
2022-02-05,243941.14285714287,36,415.7993416834771,215379,517.9878330927108,542425
2022-02-06,243941.14285714287,37,391.00788004147154,199089,509.16876657034123,510084
2022-02-07,136948.42857142858,38,364.8439093553941,182052,498.98599190445395,475952
2022-02-08,136948.42857142858,39,339.0734274436918,166065,489.7611743036914,442333
2022-02-09,136948.42857142858,40,315.12103490525465,152462,483.8204471048394,411087
2022-02-10,136948.42857142858,41,293.7930593953147,141394,481.2707294413876,383264
2022-02-11,136948.42857142858,42,275.2296143299984,131957,479.4433197940119,359047
2022-02-12,136948.42857142858,43,259.113893713133,122969,474.5750922030446,338023
2022-02-13,136948.42857142858,44,245.03803864249525,113794,464.39320454251094,319661
2022-02-14,80849.57142857143,45,232.83858724467683,104636,449.3928658399047,303746
2022-02-15,80849.57142857143,46,222.7194892175336,96225,432.0457106742713,290546
2022-02-16,80849.57142857143,47,215.09522644610993,89184,414.62565893968923,280599
2022-02-17,80849.57142857143,48,210.25866238134802,83600,397.6054972154913,274290
2022-02-18,80849.57142857143,49,208.09069166136516,79028,379.77671835800146,271462
2022-02-19,80849.57142857143,50,207.99225036933328,74865,359.94129525048027,271333
2022-02-20,80849.57142857143,51,209.0651972971947,70746,338.3920466658622,272733
2022-02-21,56221.28571428572,52,210.42177433226357,66706,317.0109187211245,274503
2022-02-22,56221.28571428572,53,211.4589091381645,63047,298.1524886180412,275856
2022-02-23,56221.28571428572,54,211.9877377670181,60057,283.30412236393,276546
2022-02-24,56221.28571428572,55,212.1935676266687,57809,272.43521397269024,276814
2022-02-25,56221.28571428572,56,212.466730566977,56145,264.2531367154498,277170
2022-02-26,56221.28571428572,57,213.18078534369556,54819,257.14794094420563,278102
2022-02-27,56221.28571428572,58,214.50580793000466,53648,250.10045423807762,279831
2022-02-28,49754.857142857145,59,216.3275216543906,52595,243.12671636864994,282207
2022-03-01,49754.857142857145,60,218.29529780770298,51747,237.0504565131957,284774
2022-03-02,49754.857142857145,61,219.9615930864364,51242,232.95885104752753,286948
2022-03-03,49754.857142857145,62,220.9381104871387,51206,231.76626199571314,288222
2022-03-04,49754.857142857145,63,221.00495667463576,51703,233.9449792346392,288309
2022-03-05,49754.857142857145,64,220.15683695218016,52714,239.43839641668683,287203
2022-03-06,49754.857142857145,65,218.61414479650264,54124,247.57775875106992,285190
2022-03-07,59889.71428571428,66,216.83189395959982,55753,257.12545779998544,282865
2022-03-08,59889.71428571428,67,215.50599691882599,57444,266.55406727097835,281135
2022-03-09,59889.71428571428,68,215.5383889285432,59173,274.53578127846845,281178
2022-03-10,59889.71428571428,69,217.92155671528343,61090,280.330229467912,284287
2022-03-11,59889.71428571428,70,223.55504920005856,63450,283.82271045561953,291636
2022-03-12,59889.71428571428,71,233.0787717100813,66434,285.02810235603516,304060
2022-03-13,59889.71428571428,72,246.83032640143253,70000,283.5956222257531,321999
2022-03-14,83761.14285714286,73,264.95772586997634,73864,278.77654730569185,345647
2022-03-15,83761.14285714286,74,287.58159583459525,77688,270.14246087111513,375161
2022-03-16,83761.14285714286,75,314.8164247774859,81330,258.3410317853794,410689
2022-03-17,83761.14285714286,76,346.5205676059715,84991,245.26971252293242,452049
2022-03-18,83761.14285714286,77,381.8273925850662,89102,233.35675158546732,498108
2022-03-19,83761.14285714286,78,418.6942740265376,94016,224.5457027531289,546202
2022-03-20,83761.14285714286,79,453.77283137384916,99708,219.73109253395057,591963
2022-03-21,121713.28571428572,80,482.8105006382254,105701,218.92854413952108,629844
2022-03-22,121713.28571428572,81,501.5739435185244,111314,221.9293913458423,654321
2022-03-23,121713.28571428572,82,507.0213982310829,116026,228.8384679715615,661428
2022-03-24,121713.28571428572,83,498.26483706264327,119738,240.30995385079962,650004
2022-03-25,121713.28571428572,84,476.8842290091716,122725,257.3475752280324,622113
2022-03-26,121713.28571428572,85,446.4340277660065,125387,280.8634472319395,582389
2022-03-27,121713.28571428572,86,411.39128386697035,127973,311.0736785599522,536675
2022-03-28,137051.14285714287,87,376.07589703656964,130467,346.9166756712233,490605
2022-03-29,137051.14285714287,88,344.0251643775173,132659,385.6084197795082,448793
2022-03-30,137051.14285714287,89,317.96395446807384,134320,422.43782074199487,414795
2022-03-31,137051.14285714287,90,300.1309833182788,135324,450.88313943413647,391532
2022-04-01,137051.14285714287,91,292.55751459409674,135693,463.816491564965,381652
2022-04-02,137051.14285714287,92,297.01621570754867,135550,456.3723892215593,387468
2022-04-03,137051.14285714287,93,314.635077956173,135061,429.26237238815844,410453
2022-04-04,132624.7142857143,94,345.4087160437374,134381,389.0492444405601,450598
2022-04-05,132624.7142857143,95,387.90699912589025,133609,344.4356515893618,506039
2022-04-06,132624.7142857143,96,439.3633984281608,132746,302.13258654431354,573165
2022-04-07,132624.7142857143,97,496.10679964726603,131688,265.44284435051225,647189
2022-04-08,132624.7142857143,98,554.117824637077,130285,235.12147454439133,722867
2022-04-09,132624.7142857143,99,609.4610065253823,128435,210.73538524183013,795064
2022-04-10,132624.7142857143,100,658.4873803702028,126174,191.6118725450209,859020
2022-04-11,117491.14285714286,101,697.9155135138997,123666,177.19336739967318,910456
2022-04-12,117491.14285714286,102,725.0186830975782,121070,166.9888001820024,945813
2022-04-13,117491.14285714286,103,738.0614377461542,118368,160.376892689943,962828
2022-04-14,117491.14285714286,104,736.876170331916,115278,156.4414818137959,961281
2022-04-15,117491.14285714286,105,723.2329883986492,111378,154.00016562658223,943483
2022-04-16,117491.14285714286,106,700.6468721679112,106383,151.83540271982423,914019
2022-04-17,117491.14285714286,107,673.5471673192868,100415,149.08384278364798,878666
2022-04-18,77023.0,108,646.1264683447469,94037,145.53961895556594,842895
2022-04-19,77023.0,109,621.38917479971,87994,141.60851776724752,810625
2022-04-20,77023.0,110,600.7737241416472,82807,137.8339242754169,783731
2022-04-21,77023.0,111,584.3529283148252,78528,134.3845409082854,762309
2022-04-22,77023.0,112,571.3168448601575,74799,130.92384842653942,745303
2022-04-23,77023.0,113,560.409378818833,71167,126.99109381430712,731074
2022-04-24,77023.0,114,550.1820101681221,67399,122.50309671049499,717732
2022-04-25,53787.142857142855,115,539.1477258133939,63599,117.96210380754245,703338
2022-04-26,53787.142857142855,116,525.9940920727822,60059,114.18189083327117,686178
2022-04-27,53787.142857142855,117,509.9154866961676,57007,111.7969575102698,665203
2022-04-28,53787.142857142855,118,490.9497288048083,54425,110.85656393475325,640462
2022-04-29,53787.142857142855,119,470.0970289427379,52079,110.78351232537506,613258
2022-04-30,53787.142857142855,120,449.0516252734182,49697,110.67101687860617,585804
2022-05-01,53787.142857142855,121,429.5709762243095,47166,109.79792074074223,560391
2022-05-02,37846.857142857145,122,412.72727098799817,44593,108.04471411169904,538418
2022-05-03,37846.857142857145,123,398.3945958313592,42214,105.96027265859105,519720
2022-05-04,37846.857142857145,124,385.2529123326562,40219,104.39635551741632,502576
