t,t_sd,phi,sampleSize,num_mut,daysPerBin,haplotypes,n_mut_types,binning,date
2,0.7490717146808689,596.089062500001,250,250,3,234,1262,eq_size_250,2022-01-03
3,1.351863716838055,565.4396484375011,850,850,7,770,2288,eq_size_850,2022-01-04
3,1.3834112762618869,559.480761718751,857,857,7,775,2296,eq_days_7,2022-01-04
3,0.6105411205472676,759.1835937500011,650,650,4,589,1985,eq_size_650,2022-01-04
5,1.2124455024394036,264.76318359375045,250,250,5,229,1236,eq_size_250,2022-01-06
6,3.478059344415021,429.0733398437508,1282,1282,14,1162,2707,eq_days_14,2022-01-07
8,5.397059592340734,317.28320312500057,1537,1537,21,1383,2898,eq_days_21,2022-01-09
10,0.32086729857243806,3823.1398437500084,250,250,2,246,1216,eq_size_250,2022-01-11
10,2.9461562135690866,328.16962890625064,650,650,13,605,2042,eq_size_650,2022-01-11
10,1.3018896877832973,718.7250976562514,425,425,7,408,1678,eq_days_7,2022-01-11
15,2.1914804004100823,319.8063476562505,250,250,7,237,1355,eq_size_250,2022-01-16
15,5.6474035669268146,288.87509765625043,850,850,20,793,2270,eq_size_850,2022-01-16
17,1.552538300233369,187.19189453125034,255,255,7,233,1276,eq_days_7,2022-01-18
20,3.938142786881338,208.1785156250003,446,446,14,415,1505,eq_days_14,2022-01-21
23,2.6213090325592403,223.86445312500035,250,250,10,237,955,eq_size_250,2022-01-24
25,1.466781060528817,503.04658203125086,191,191,7,186,680,eq_days_7,2022-01-26
30,6.264730135034532,280.5377929687505,650,650,22,618,1469,eq_size_650,2022-01-31
32,1.7934508254908534,560.259765625001,250,250,9,244,765,eq_size_250,2022-02-02
32,1.4185447151554955,720.9941406250011,228,228,7,223,729,eq_days_7,2022-02-02
32,5.642478875549344,314.1525390625006,615,615,21,588,1276,eq_days_21,2022-02-02
35,3.573022908837674,407.9677734375007,424,424,14,409,1026,eq_days_14,2022-02-05
38,1.3966675596249967,324.4617187500005,196,196,7,188,635,eq_days_7,2022-02-08
40,3.057229236156432,221.7136718750004,250,250,11,238,716,eq_size_250,2022-02-10
44,10.79148432144086,194.60888671875028,850,850,35,801,1467,eq_size_850,2022-02-14
46,1.5756208018277553,165.65351562500027,99,99,7,95,454,eq_days_7,2022-02-16
50,3.8145396030461116,178.27861328125027,218,218,14,209,661,eq_days_14,2022-02-20
53,1.6446102620726886,325.8812500000006,119,119,7,116,437,eq_days_7,2022-02-23
54,5.590200840219477,147.60849609375023,419,419,21,393,914,eq_days_21,2022-02-24
55,3.621065098807143,203.23759765625036,250,250,12,238,665,eq_size_250,2022-02-25
57,8.657441213929456,119.60800781250019,650,650,34,603,1197,eq_size_650,2022-02-27
