t,date,smoothed_phi
2,2022-01-03,563.6274246900656
3,2022-01-04,543.5562593703117
4,2022-01-05,518.5050763860102
5,2022-01-06,490.3524181917901
6,2022-01-07,463.79585800119924
7,2022-01-08,445.3110291889218
8,2022-01-09,438.7227739084582
9,2022-01-10,441.0315849304741
10,2022-01-11,443.3165261205373
11,2022-01-12,434.8008075469626
12,2022-01-13,408.27370609768093
13,2022-01-14,367.5548943205532
14,2022-01-15,326.279413385613
15,2022-01-16,294.0160003484184
16,2022-01-17,270.8805160878269
17,2022-01-18,253.652425605752
18,2022-01-19,240.89915380087334
19,2022-01-20,234.3811034336473
20,2022-01-21,237.74573389647398
21,2022-01-22,253.05561511382703
22,2022-01-23,278.36159839346067
23,2022-01-24,309.21970735546995
24,2022-01-25,341.8783423035458
25,2022-01-26,375.190587824934
26,2022-01-27,410.98801384618844
27,2022-01-28,451.2475201840854
28,2022-01-29,489.1419493951022
29,2022-01-30,511.70901845758976
30,2022-01-31,518.5782885753463
31,2022-02-01,516.5930652242888
32,2022-02-02,509.1557833236925
33,2022-02-03,496.05888897453923
34,2022-02-04,475.30211219630115
35,2022-02-05,444.9407288488315
36,2022-02-06,406.0356073214356
37,2022-02-07,364.6229696535165
38,2022-02-08,328.2639732318896
39,2022-02-09,300.5253960429535
40,2022-02-10,280.613921882039
41,2022-02-11,266.24321073248217
42,2022-02-12,255.2685546832164
43,2022-02-13,245.3825323217923
44,2022-02-14,232.36295969090466
45,2022-02-15,212.41124322018436
46,2022-02-16,197.23975408396763
47,2022-02-17,195.47822644376689
48,2022-02-18,200.2565129275053
49,2022-02-19,207.06624802988978
50,2022-02-20,213.890993527104
51,2022-02-21,219.1693651887385
52,2022-02-22,221.87530538036128
53,2022-02-23,221.9760081599635
54,2022-02-24,220.3693239981846
55,2022-02-25,218.45857403021162
56,2022-02-26,217.7355233134296
57,2022-02-27,219.2118015859836
58,2022-02-28,222.49401321145197
59,2022-03-01,225.6767257191492
60,2022-03-02,227.19321464346444
61,2022-03-03,227.24286446163597
62,2022-03-04,226.94532493968927
63,2022-03-05,226.86157406468618
64,2022-03-06,226.48255619817263
65,2022-03-07,225.01371125343553
66,2022-03-08,222.30807758384532
67,2022-03-09,218.92400547462233
68,2022-03-10,216.02977540384535
69,2022-03-11,216.11077306962096
70,2022-03-12,223.49321443927232
71,2022-03-13,239.43248936267707
72,2022-03-14,257.6559007396638
73,2022-03-15,275.1656431219781
74,2022-03-16,295.6276451217226
75,2022-03-17,323.89728082513807
76,2022-03-18,363.26927405545814
77,2022-03-19,413.74439531776414
78,2022-03-20,471.1438154007139
79,2022-03-21,528.0962113590513
80,2022-03-22,575.4934344576284
81,2022-03-23,603.8169982957513
82,2022-03-24,607.1360012075712
83,2022-03-25,589.1979221706372
84,2022-03-26,561.8434445067212
85,2022-03-27,533.0391919295326
86,2022-03-28,500.25321031446146
