date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-01-04,246602.42857142855,4,490.159976400484,247563,505.06571715216757,631688
2022-01-05,246602.42857142855,5,483.4211715693004,248496,514.0362371662845,623003
2022-01-06,246602.42857142855,6,475.8849499405228,250130,525.6102342199765,613291
2022-01-07,246602.42857142855,7,467.7800210691847,252739,540.2945585882982,602846
2022-01-08,246602.42857142855,8,459.23969484568397,256474,558.4752426207009,591840
2022-01-09,246602.42857142855,9,450.01048738801666,261208,580.4486946873668,579946
2022-01-10,280273.14285714284,10,439.2621135360897,266524,606.7538988383582,566094
2022-01-11,280273.14285714284,11,425.7649581388125,271949,638.7303482860518,548699
2022-01-12,280273.14285714284,12,408.4619748647666,277326,678.9518169759057,526400
2022-01-13,280273.14285714284,13,387.12061630690715,283014,731.0744715689025,498897
2022-01-14,280273.14285714284,14,362.660018766094,289711,798.8501213497588,467374
2022-01-15,280273.14285714284,15,336.97656086697515,297942,884.1623857560098,434274
2022-01-16,280273.14285714284,16,312.41393013588896,307564,984.4759478753735,402620
2022-01-17,345291.8571428572,17,291.19898826593715,317647,1090.8245316769755,375279
2022-01-18,345291.8571428572,18,275.09925315690407,326840,1188.0802882935686,354531
2022-01-19,345291.8571428572,19,265.3437428265828,333980,1258.66921315825,341959
2022-01-20,345291.8571428572,20,262.6740760767244,338518,1288.737758426996,338518
2022-01-21,345291.8571428572,21,267.37812299211066,340570,1273.739213174329,344580
2022-01-22,345291.8571428572,22,279.2675237078471,340667,1219.8589921124712,359903
2022-01-23,345291.8571428572,23,297.66000257992937,339451,1140.3984312902392,383606
2022-01-24,332767.71428571426,24,321.42569502322186,337429,1049.7885054759606,414233
2022-01-25,332767.71428571426,25,349.0808572906928,334785,959.0471462639154,449874
2022-01-26,332767.71428571426,26,378.8644845412814,331245,874.3099802586728,488257
2022-01-27,332767.71428571426,27,408.77671826002216,326101,797.748466175042,526806
2022-01-28,332767.71428571426,28,436.6454371828914,318506,729.4385166484449,562721
2022-01-29,332767.71428571426,29,460.30874502987643,308018,669.1552209811005,593217
2022-01-30,332767.71428571426,30,477.90855972133164,295063,617.4047189530381,615899
2022-01-31,243941.14285714287,31,488.16813363647725,280922,575.4615687577702,629121
2022-02-01,243941.14285714287,32,490.5084195340197,267090,544.5166471428442,632137
2022-02-02,243941.14285714287,33,484.9770608049955,254368,524.4949102907754,625008
2022-02-03,243941.14285714287,34,472.10495133323434,242354,513.3477192213028,608419
2022-02-04,243941.14285714287,35,452.8287519646011,229756,507.379443118843,583578
2022-02-05,243941.14285714287,36,428.5053376500654,215379,502.62851142332113,552231
2022-02-06,243941.14285714287,37,400.91121956868585,199089,496.5912408592277,516669
