t,date,sequences,n_haplos,n_mut_types
1,2022-01-01,39,32,292
2,2022-01-02,61,55,575
3,2022-01-03,510,468,1760
4,2022-01-04,89,84,707
5,2022-01-05,57,54,521
6,2022-01-06,43,43,411
7,2022-01-07,58,52,436
8,2022-01-08,31,30,354
9,2022-01-09,29,28,296
10,2022-01-10,272,262,1262
11,2022-01-11,25,25,337
12,2022-01-12,25,24,293
13,2022-01-13,30,29,340
14,2022-01-14,13,13,174
15,2022-01-15,30,25,294
16,2022-01-16,23,22,272
17,2022-01-17,126,121,891
18,2022-01-18,30,28,355
19,2022-01-19,11,10,200
20,2022-01-20,19,19,250
21,2022-01-21,16,14,236
22,2022-01-22,8,7,160
23,2022-01-23,7,7,180
24,2022-01-24,116,114,510
25,2022-01-25,9,9,178
26,2022-01-26,21,21,219
27,2022-01-27,16,16,246
28,2022-01-28,14,14,182
29,2022-01-29,3,3,63
30,2022-01-30,7,7,173
31,2022-01-31,132,128,463
32,2022-02-01,19,19,211
33,2022-02-02,28,28,278
34,2022-02-03,21,21,251
35,2022-02-04,18,18,205
36,2022-02-05,14,13,186
37,2022-02-06,12,11,139
38,2022-02-07,112,110,472
39,2022-02-08,20,20,218
40,2022-02-09,19,18,176
41,2022-02-10,7,7,148
42,2022-02-11,12,9,141
43,2022-02-12,4,4,110
44,2022-02-13,12,12,127
45,2022-02-14,35,35,269
46,2022-02-15,16,15,199
47,2022-02-16,14,14,140
48,2022-02-17,10,10,187
49,2022-02-18,8,8,147
50,2022-02-19,10,10,120
51,2022-02-20,4,3,132
52,2022-02-21,57,57,305
53,2022-02-22,11,11,179
54,2022-02-23,14,14,179
55,2022-02-24,12,12,177
56,2022-02-25,11,11,180
57,2022-02-26,10,10,128
58,2022-02-27,13,13,119
59,2022-02-28,138,134,433
60,2022-03-01,12,12,141
61,2022-03-02,13,13,142
62,2022-03-03,13,11,150
63,2022-03-04,2,2,115
64,2022-03-05,6,6,93
65,2022-03-06,4,4,87
66,2022-03-07,125,122,425
67,2022-03-08,4,4,107
68,2022-03-09,4,4,116
69,2022-03-10,9,7,107
70,2022-03-11,6,6,119
71,2022-03-12,2,2,73
72,2022-03-13,5,5,103
73,2022-03-14,114,111,358
74,2022-03-15,8,8,104
75,2022-03-16,17,17,197
76,2022-03-17,15,15,142
77,2022-03-18,14,13,123
78,2022-03-19,8,8,101
79,2022-03-20,7,7,105
80,2022-03-21,148,146,421
81,2022-03-22,20,20,137
82,2022-03-23,31,31,234
83,2022-03-24,34,33,195
84,2022-03-25,20,20,157
85,2022-03-26,11,11,115
86,2022-03-27,6,6,104
87,2022-03-28,221,210,563
88,2022-03-29,21,21,137
89,2022-03-30,18,17,135
90,2022-03-31,27,24,140
91,2022-04-01,19,19,132
92,2022-04-02,8,8,110
93,2022-04-03,15,15,122
94,2022-04-04,115,112,397
95,2022-04-05,20,20,158
96,2022-04-06,30,25,160
97,2022-04-07,38,36,183
98,2022-04-08,25,25,149
99,2022-04-09,8,8,105
100,2022-04-10,7,7,89
101,2022-04-11,634,606,1202
102,2022-04-12,17,14,133
103,2022-04-13,19,19,145
104,2022-04-14,30,28,185
105,2022-04-15,26,25,200
106,2022-04-16,16,16,128
107,2022-04-17,10,10,108
108,2022-04-18,23,21,149
109,2022-04-19,241,240,733
110,2022-04-20,36,34,175
111,2022-04-21,31,30,198
112,2022-04-22,33,32,178
113,2022-04-23,9,9,112
114,2022-04-24,10,10,108
115,2022-04-25,286,275,746
116,2022-04-26,18,18,158
117,2022-04-27,14,14,143
118,2022-04-28,22,21,162
119,2022-04-29,25,24,174
120,2022-04-30,5,5,112
121,2022-05-01,6,6,127
122,2022-05-02,82,81,369
123,2022-05-03,27,25,180
124,2022-05-04,13,13,157
125,2022-05-05,18,18,159
126,2022-05-06,11,11,134
127,2022-05-07,7,7,119
128,2022-05-08,3,3,88
129,2022-05-09,71,68,360
130,2022-05-10,9,9,130
131,2022-05-11,12,12,149
132,2022-05-12,14,14,192
133,2022-05-13,5,5,112
134,2022-05-14,6,6,109
135,2022-05-15,9,9,131
136,2022-05-16,51,50,286
137,2022-05-17,15,15,155
138,2022-05-18,12,12,178
139,2022-05-19,7,7,124
140,2022-05-20,8,7,111
141,2022-05-21,6,4,93
142,2022-05-22,5,5,103
143,2022-05-23,110,100,456
144,2022-05-24,25,21,220
145,2022-05-25,16,16,165
146,2022-05-26,6,6,109
147,2022-05-27,8,8,130
148,2022-05-28,5,5,117
149,2022-05-29,4,4,100
150,2022-05-30,136,135,501
151,2022-05-31,3,3,98
152,2022-06-01,3,3,98
153,2022-06-02,4,4,103
154,2022-06-03,2,2,81
155,2022-06-04,8,5,97
156,2022-06-05,3,3,85
157,2022-06-06,8,8,118
158,2022-06-07,61,61,327
159,2022-06-08,10,10,147
160,2022-06-09,6,6,111
161,2022-06-10,2,2,78
162,2022-06-11,4,4,98
163,2022-06-12,3,3,93
164,2022-06-13,90,88,452
165,2022-06-14,14,13,162
166,2022-06-15,21,21,181
167,2022-06-16,5,5,114
168,2022-06-17,8,8,159
169,2022-06-18,12,12,152
170,2022-06-19,7,7,106
171,2022-06-20,161,159,636
172,2022-06-21,24,24,212
173,2022-06-22,36,36,276
174,2022-06-23,31,31,243
175,2022-06-24,14,14,163
176,2022-06-25,9,9,171
177,2022-06-26,7,7,123
178,2022-06-27,130,130,551
179,2022-06-28,75,75,385
180,2022-06-29,51,50,309
181,2022-06-30,35,35,252
182,2022-07-01,15,15,180
