t,date,smoothed_phi
3,2022-01-04,522.5123891579924
4,2022-01-05,503.5466982162867
5,2022-01-06,481.60875794163803
6,2022-01-07,461.7534361663387
7,2022-01-08,449.57342126380246
8,2022-01-09,446.5793834530432
9,2022-01-10,448.76123442881635
10,2022-01-11,448.62828575397043
11,2022-01-12,437.4499970357277
12,2022-01-13,409.19106438866345
13,2022-01-14,367.7613179089847
14,2022-01-15,326.30812124112947
15,2022-01-16,294.01778351407296
16,2022-01-17,270.8801741183091
17,2022-01-18,253.65226237391798
18,2022-01-19,240.8991141125509
19,2022-01-20,234.38109684200788
20,2022-01-21,237.74573319388045
21,2022-01-22,253.0556150793844
22,2022-01-23,278.3615983956927
23,2022-01-24,309.21970735611455
24,2022-01-25,341.8783423036234
25,2022-01-26,375.19058782494085
26,2022-01-27,410.98801384618906
27,2022-01-28,451.2475201840854
28,2022-01-29,489.1419493951022
29,2022-01-30,511.70901845758976
30,2022-01-31,518.5782885753463
31,2022-02-01,516.5930652242889
32,2022-02-02,509.15578332369245
33,2022-02-03,496.05888897453923
34,2022-02-04,475.30211219630115
35,2022-02-05,444.9407288488314
36,2022-02-06,406.0356073214356
37,2022-02-07,364.6229696535165
38,2022-02-08,328.2639732318895
39,2022-02-09,300.52539604295356
40,2022-02-10,280.613921882039
41,2022-02-11,266.2432107324821
42,2022-02-12,255.2685546832164
43,2022-02-13,245.38253232179238
44,2022-02-14,232.36295969090466
45,2022-02-15,212.4112432201844
46,2022-02-16,197.23975408396763
47,2022-02-17,195.4782264437669
48,2022-02-18,200.25651292750527
49,2022-02-19,207.06624802988978
50,2022-02-20,213.890993527104
51,2022-02-21,219.16936518873854
52,2022-02-22,221.87530538036123
53,2022-02-23,221.9760081599635
54,2022-02-24,220.3693239981846
55,2022-02-25,218.45857403021162
56,2022-02-26,217.7355233134296
57,2022-02-27,219.2118015859836
58,2022-02-28,222.49401321145197
59,2022-03-01,225.6767257191492
60,2022-03-02,227.1932146434644
61,2022-03-03,227.24286446163597
62,2022-03-04,226.94532493968921
63,2022-03-05,226.86157406468618
64,2022-03-06,226.4825561981726
65,2022-03-07,225.01371125343388
66,2022-03-08,222.30807758381025
67,2022-03-09,218.92400547394044
68,2022-03-10,216.0297753914649
69,2022-03-11,216.11077286680887
70,2022-03-12,223.49321173263934
71,2022-03-13,239.43246333703036
72,2022-03-14,257.65571926505237
73,2022-03-15,275.16461004667406
74,2022-03-16,295.6224342830915
75,2022-03-17,323.8736023248969
76,2022-03-18,363.1738868128066
77,2022-03-19,413.4106712221643
78,2022-03-20,470.137346653066
79,2022-03-21,525.4497308014304
80,2022-03-22,569.2470554147064
81,2022-03-23,589.9924889087016
82,2022-03-24,577.4875657363042
83,2022-03-25,529.2039347378023
84,2022-03-26,455.4766933043464
85,2022-03-27,376.5140708746784
86,2022-03-28,311.5633455203584
87,2022-03-29,268.65069670016806
88,2022-03-30,244.13128993557973
89,2022-03-31,231.26536631571827
90,2022-04-01,226.9888351688525
91,2022-04-02,232.76134220971372
92,2022-04-03,253.09283728596944
93,2022-04-04,293.15714743514354
94,2022-04-05,354.34644696704
95,2022-04-06,430.6546368706435
96,2022-04-07,512.2049800965486
97,2022-04-08,592.336378162112
98,2022-04-09,668.9622714940176
99,2022-04-10,740.9256387324394
100,2022-04-11,804.2434826866622
101,2022-04-12,850.0153000903473
102,2022-04-13,865.5541160521843
103,2022-04-14,841.672945951577
104,2022-04-15,783.9172279312145
105,2022-04-16,714.4731870453581
106,2022-04-17,657.0103197497111
107,2022-04-18,620.7641025579733
108,2022-04-19,600.8669023330165
109,2022-04-20,588.4170931796112
110,2022-04-21,577.4677771640777
111,2022-04-22,566.4750717968307
112,2022-04-23,556.916977670275
113,2022-04-24,550.5752578525507
114,2022-04-25,546.5835344573254
115,2022-04-26,540.6231337488722
116,2022-04-27,527.0939648087276
117,2022-04-28,502.4917325503824
118,2022-04-29,468.58965144568094
119,2022-04-30,433.18378166741223
120,2022-05-01,405.56849066679285
121,2022-05-02,390.32174107015055
122,2022-05-03,386.0800736450904
123,2022-05-04,388.3123309714978
124,2022-05-05,390.99830664068645
125,2022-05-06,385.2040236819198
126,2022-05-07,358.90894022464624
127,2022-05-08,312.87234814626504
128,2022-05-09,271.96815236916717
129,2022-05-10,249.36419136450857
130,2022-05-11,238.7289242622325
131,2022-05-12,233.70965999760523
132,2022-05-13,232.27326211202836
133,2022-05-14,234.32427269850712
134,2022-05-15,239.5951914117781
135,2022-05-16,246.557603910017
136,2022-05-17,252.52003328124005
137,2022-05-18,254.76066719785806
138,2022-05-19,251.413870619982
139,2022-05-20,241.02788798336212
140,2022-05-21,222.14019710757066
141,2022-05-22,197.071538278979
142,2022-05-23,179.05633936522958
143,2022-05-24,184.90254149803786
144,2022-05-25,221.10664197864
145,2022-05-26,288.3351168282274
146,2022-05-27,384.2327487103886
147,2022-05-28,498.3915236641784
148,2022-05-29,613.1536413916677
149,2022-05-30,712.2584610784178
150,2022-05-31,786.5598945330573
151,2022-06-01,830.8225680200038
152,2022-06-02,834.5272646339762
153,2022-06-03,774.597051039415
154,2022-06-04,636.9038425242458
155,2022-06-05,472.28717123783775
156,2022-06-06,355.95074420259147
157,2022-06-07,295.808384866396
158,2022-06-08,264.93482309901106
159,2022-06-09,246.73167213000696
160,2022-06-10,240.06251633361555
161,2022-06-11,248.96923691560772
162,2022-06-12,272.4317570722451
163,2022-06-13,304.8200319015302
164,2022-06-14,342.07168711346316
165,2022-06-15,387.27805352050603
166,2022-06-16,457.7205249238395
167,2022-06-17,596.6393721023541
168,2022-06-18,878.5206529021056
169,2022-06-19,1345.593199559704
170,2022-06-20,1855.7204699320703
171,2022-06-21,2166.055303264915
172,2022-06-22,2228.6319865741916
173,2022-06-23,2145.81545982054
174,2022-06-24,2017.736830024494
175,2022-06-25,1913.0723351612542
176,2022-06-26,1874.7422452189314
177,2022-06-27,1912.8362577929295
178,2022-06-28,2001.5310848110237
179,2022-06-29,2100.434060769152
