country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-01-05,2369.7166,5,244.96171596845483,2415,9.858683388350341,10549
Spain,ESP,2022-01-06,2369.7166,6,237.1457793421407,2438,10.280596208640887,10213
Spain,ESP,2022-01-07,2369.7166,7,228.237768923354,2469,10.817666206810543,9829
Spain,ESP,2022-01-08,2369.7166,8,218.6772727435801,2507,11.464382962831698,9417
Spain,ESP,2022-01-09,2665.781,9,209.10805439039973,2549,12.189870004916587,9005
Spain,ESP,2022-01-10,2665.781,10,200.09527034483645,2590,12.943834182269747,8617
Spain,ESP,2022-01-11,2665.781,11,191.7222873609015,2626,13.69689479583962,8257
Spain,ESP,2022-01-12,2665.781,12,183.34825897520693,2657,14.491547478284426,7896
Spain,ESP,2022-01-13,2665.781,13,173.77542619402942,2686,15.45673090164624,7484
Spain,ESP,2022-01-14,2665.781,14,161.80443564956286,2714,16.773334977528055,6968
Spain,ESP,2022-01-15,2665.781,15,146.89476256780122,2744,18.680039723904184,6326
Spain,ESP,2022-01-16,2856.9585,16,129.57669474756085,2774,21.40817070079045,5580
Spain,ESP,2022-01-17,2856.9585,17,111.3864483290586,2798,25.119752375388877,4797
Spain,ESP,2022-01-18,2856.9585,18,94.34976287428854,2812,29.803996473702895,4063
Spain,ESP,2022-01-19,2856.9585,19,80.29018791170225,2812,35.02295950648974,3458
Spain,ESP,2022-01-20,2856.9585,20,70.31776632485574,2795,39.7481340218856,3028
Spain,ESP,2022-01-21,2856.9585,21,64.70320708888575,2762,42.68721944811352,2786
Spain,ESP,2022-01-22,2856.9585,22,63.090336095762616,2717,43.0652326193977,2717
Spain,ESP,2022-01-23,2531.0403,23,64.84005913507478,2665,41.10113463111243,2792
Spain,ESP,2022-01-24,2531.0403,24,69.31188569178805,2611,37.67030681592532,2985
Spain,ESP,2022-01-25,2531.0403,25,76.00086653138084,2558,33.65751098303332,3273
Spain,ESP,2022-01-26,2531.0403,26,84.54535461284307,2502,29.59358336667178,3641
Spain,ESP,2022-01-27,2531.0403,27,94.66047516311136,2434,25.71294931496938,4077
Spain,ESP,2022-01-28,2531.0403,28,106.05828867344297,2350,22.157626993546245,4567
Spain,ESP,2022-01-29,2531.0403,29,118.41228045194559,2251,19.009852621776904,5099
Spain,ESP,2022-01-30,1868.9648,30,131.39887665055488,2145,16.32434047137603,5659
Spain,ESP,2022-01-31,1868.9648,31,144.7898436502978,2043,14.11010571248585,6235
Spain,ESP,2022-02-01,1868.9648,32,158.5115876040105,1950,12.301939747593968,6826
Spain,ESP,2022-02-02,1868.9648,33,172.59469594144355,1864,10.799868384323942,7433
Spain,ESP,2022-02-03,1868.9648,34,187.02722600624517,1776,9.495943654431874,8054
Spain,ESP,2022-02-04,1868.9648,35,201.62897170786715,1677,8.31725711734395,8683
Spain,ESP,2022-02-05,1868.9648,36,216.081947139051,1566,7.247250502570965,9306
