t,t_sd,phi,sampleSize,num_mut,daysPerBin,haplotypes,n_mut_types,binning,date
4,1.8430350374821498,328.86181640625057,300,300,7,282,1231,eq_days_7,2022-01-05
4,1.4597188484313894,295.2936523437505,250,250,7,236,1140,eq_size_250,2022-01-05
7,3.951660880947328,221.48876953125037,504,504,14,467,1525,eq_days_14,2022-01-08
9,5.433495691509729,123.13808593750021,650,650,18,570,1672,eq_size_650,2022-01-10
10,6.021316227763189,105.20537109375016,733,733,21,633,1759,eq_days_21,2022-01-11
11,1.7582236300416219,311.0016601562505,204,204,7,195,968,eq_days_7,2022-01-12
12,2.384289273843559,167.34921875000026,250,250,10,233,1106,eq_size_250,2022-01-13
13,7.762452196509622,91.02607421875015,850,850,31,743,1898,eq_size_850,2022-01-14
18,1.432005481723412,52.49882812500009,229,229,7,178,902,eq_days_7,2022-01-19
20,3.8706011563176976,53.63457031250009,335,335,14,277,1187,eq_days_14,2022-01-21
22,3.8482374831742985,35.980664062500054,250,250,14,203,937,eq_size_250,2022-01-23
25,1.6342031532498156,104.67089843750016,106,106,7,99,631,eq_days_7,2022-01-26
32,6.104189472385962,154.38369140625028,287,287,21,275,1017,eq_days_21,2022-02-02
37,3.5096551907574995,225.42802734375036,181,181,14,176,717,eq_days_14,2022-02-07
38,10.426150440795691,176.33808593750024,650,650,35,618,1506,eq_size_650,2022-02-08
39,4.040151891852205,360.1669921875006,250,250,14,244,887,eq_size_250,2022-02-09
39,1.662338702963379,186.9391601562503,105,105,7,101,485,eq_days_7,2022-02-09
46,1.9020019262745942,550.2031250000009,219,219,7,213,640,eq_days_7,2022-02-16
50,2.9873656310626964,164.46943359375027,250,250,9,231,586,eq_size_250,2022-02-20
50,4.342290591242298,212.13388671875032,465,465,14,432,966,eq_days_14,2022-02-20
51,9.03871408923259,182.46640625000032,850,850,35,798,1495,eq_size_850,2022-02-21
53,6.154997188776191,205.36201171875035,638,638,21,595,1162,eq_days_21,2022-02-23
54,1.383139363221186,193.02451171875032,246,246,7,226,623,eq_days_7,2022-02-24
59,2.9772065827121557,367.3960937500006,250,250,9,241,628,eq_size_250,2022-03-01
61,1.750060010877422,696.1668945312512,173,173,7,170,532,eq_days_7,2022-03-03
63,5.990161425062359,242.62177734375038,650,650,20,610,1131,eq_size_650,2022-03-05
65,3.7438813218696883,396.7889648437507,446,446,14,429,923,eq_days_14,2022-03-07
68,1.4476459217845477,422.7794921875007,250,250,7,240,636,eq_size_250,2022-03-10
68,1.5435396153903085,506.5102539062508,273,273,7,263,684,eq_days_7,2022-03-10
74,1.256091982409364,344.50927734375057,250,250,6,236,652,eq_size_250,2022-03-16
75,1.628354874458837,411.5708007812507,436,436,7,406,897,eq_days_7,2022-03-17
75,4.388003050968233,292.29238281250053,850,850,16,781,1298,eq_size_850,2022-03-17
76,5.593883071257718,214.5701171875004,1161,1161,21,1033,1551,eq_days_21,2022-03-18
78,3.610394437953152,248.8402343750004,888,888,14,791,1340,eq_days_14,2022-03-20
78,1.3553049124173109,383.6720703125005,250,250,5,235,597,eq_size_250,2022-03-20
78,2.7468641273415995,379.3143554687507,650,650,9,595,1141,eq_size_650,2022-03-20
82,1.6403524129572713,201.1590820312503,452,452,7,392,855,eq_days_7,2022-03-24
83,0.7541052305846838,206.40947265625036,250,250,3,210,636,eq_size_250,2022-03-25
87,2.528579794222372,283.34960937500057,650,650,9,579,1139,eq_size_650,2022-03-29
87,0.9356912270023501,447.0667968750008,250,250,4,234,632,eq_size_250,2022-03-29
89,1.5857421499488333,475.82841796875095,514,514,7,478,1014,eq_days_7,2022-03-31
89,3.6532147441888,220.84921875000038,850,848,13,743,1316,eq_size_850,2022-03-31
90,0.8013642985283431,1246.8266601562523,250,250,3,242,676,eq_size_250,2022-04-01
92,3.772987608284027,277.2367187500005,920,918,14,824,1398,eq_days_14,2022-04-03
93,5.098320294179628,208.63740234375032,1099,1092,21,975,1567,eq_days_21,2022-04-04
94,0.970446839488435,309.0301757812506,250,248,5,230,619,eq_size_250,2022-04-05
95,1.5278576383565998,277.2147460937505,406,404,7,367,832,eq_days_7,2022-04-06
98,4.292667905628709,145.0218750000002,650,642,18,574,1139,eq_size_650,2022-04-09
99,1.9229996648058376,229.0896484375004,250,248,6,228,644,eq_size_250,2022-04-10
102,1.5197525641961078,163.83691406250028,179,174,7,162,518,eq_days_7,2022-04-13
106,6.380691813520129,154.14863281250024,850,844,21,750,1421,eq_size_850,2022-04-17
107,4.276797813617966,164.9897460937503,563,557,14,499,1108,eq_days_14,2022-04-18
108,2.3240630534271594,159.90566406250025,250,246,8,225,675,eq_size_250,2022-04-19
110,1.6904659571568892,247.31015625000038,384,383,7,346,888,eq_days_7,2022-04-21
112,1.377384751992006,314.2967773437505,250,250,5,232,650,eq_size_250,2022-04-23
115,3.871898005958218,283.79638671875057,650,650,14,602,1315,eq_size_650,2022-04-26
117,1.692848363020307,517.8174804687509,303,303,7,291,845,eq_days_7,2022-04-28
117,6.07806741040756,290.5931640625006,1050,1049,21,968,1790,eq_days_21,2022-04-28
118,1.3866199405164161,551.094238281251,250,250,6,241,759,eq_size_250,2022-04-29
121,4.081793998385122,628.531640625001,666,666,14,642,1421,eq_days_14,2022-05-02
124,1.7934913196466213,1310.1218750000023,363,363,7,356,970,eq_days_7,2022-05-05
124,1.1153258749033466,1216.7784179687524,250,250,5,245,753,eq_size_250,2022-05-05
125,4.1509760409362935,739.3358398437513,850,850,15,819,1679,eq_size_850,2022-05-06
128,2.281702368563437,1266.4258789062524,650,650,8,630,1462,eq_size_650,2022-05-09
129,0.7766574451768249,826.6413085937514,250,250,4,241,828,eq_size_250,2022-05-10
