t,date,sequences,n_haplos,n_mut_types
1,2022-01-01,17,17,237
2,2022-01-02,49,44,384
3,2022-01-03,63,60,515
4,2022-01-04,35,35,371
5,2022-01-05,66,65,587
6,2022-01-06,17,17,288
7,2022-01-07,53,50,519
8,2022-01-08,19,19,250
9,2022-01-09,15,15,241
10,2022-01-10,33,32,309
11,2022-01-11,26,26,315
12,2022-01-12,67,65,503
13,2022-01-13,16,16,229
14,2022-01-14,28,26,234
15,2022-01-15,7,7,166
16,2022-01-16,38,32,339
17,2022-01-17,50,48,335
18,2022-01-18,74,36,248
19,2022-01-19,28,27,305
20,2022-01-20,21,21,233
21,2022-01-21,11,11,192
22,2022-01-22,4,4,151
23,2022-01-23,7,7,158
24,2022-01-24,23,22,272
25,2022-01-25,17,17,261
26,2022-01-26,26,22,269
27,2022-01-27,14,13,232
28,2022-01-28,15,15,218
29,2022-01-29,5,5,112
30,2022-01-30,3,3,105
31,2022-01-31,8,8,165
32,2022-02-01,11,11,196
33,2022-02-02,16,16,206
34,2022-02-03,16,16,203
35,2022-02-04,17,17,220
36,2022-02-05,10,10,173
37,2022-02-06,3,3,139
38,2022-02-07,26,22,239
39,2022-02-08,24,24,255
40,2022-02-09,19,19,239
41,2022-02-10,13,13,192
42,2022-02-11,10,10,123
43,2022-02-12,35,35,330
44,2022-02-13,30,30,211
45,2022-02-14,37,36,241
46,2022-02-15,43,43,229
47,2022-02-16,28,28,163
48,2022-02-17,22,22,163
49,2022-02-18,24,23,160
50,2022-02-19,6,6,158
51,2022-02-20,7,7,121
52,2022-02-21,32,31,244
53,2022-02-22,52,51,274
54,2022-02-23,61,56,294
55,2022-02-24,70,65,272
56,2022-02-25,18,18,175
57,2022-02-26,6,6,130
58,2022-02-27,16,16,154
59,2022-02-28,19,19,193
60,2022-03-01,20,20,163
61,2022-03-02,55,54,242
62,2022-03-03,11,11,179
63,2022-03-04,46,44,229
64,2022-03-05,12,11,169
65,2022-03-06,4,4,102
66,2022-03-07,44,44,237
67,2022-03-08,47,47,263
68,2022-03-09,79,78,307
69,2022-03-10,45,44,261
70,2022-03-11,42,41,264
71,2022-03-12,9,9,137
72,2022-03-13,15,15,156
73,2022-03-14,53,53,276
74,2022-03-15,67,67,275
75,2022-03-16,74,67,273
76,2022-03-17,85,80,385
77,2022-03-18,133,125,427
78,2022-03-19,27,27,178
79,2022-03-20,17,17,129
80,2022-03-21,69,66,254
81,2022-03-22,65,64,320
82,2022-03-23,132,121,469
83,2022-03-24,76,64,256
84,2022-03-25,66,57,268
85,2022-03-26,26,26,174
86,2022-03-27,9,9,106
87,2022-03-28,97,90,380
88,2022-03-29,126,122,352
89,2022-03-30,98,94,349
90,2022-03-31,86,86,321
91,2022-04-01,72,72,308
92,2022-04-02,14,14,129
93,2022-04-03,27,27,174
94,2022-04-04,46,43,236
95,2022-04-05,146,132,424
96,2022-04-06,52,51,260
97,2022-04-07,76,71,283
98,2022-04-08,45,42,246
99,2022-04-09,16,16,148
100,2022-04-10,17,17,127
101,2022-04-11,60,57,277
102,2022-04-12,39,36,209
103,2022-04-13,27,23,162
104,2022-04-14,9,9,116
105,2022-04-15,11,9,100
106,2022-04-16,18,18,137
107,2022-04-17,11,11,121
108,2022-04-18,31,29,167
109,2022-04-19,74,66,325
110,2022-04-20,77,73,314
111,2022-04-21,59,54,219
112,2022-04-22,114,108,406
113,2022-04-23,19,19,150
114,2022-04-24,14,14,134
115,2022-04-25,50,48,224
116,2022-04-26,70,69,326
117,2022-04-27,47,46,263
118,2022-04-28,60,58,288
119,2022-04-29,43,43,253
120,2022-04-30,27,27,167
121,2022-05-01,16,16,154
122,2022-05-02,28,28,194
123,2022-05-03,65,64,303
124,2022-05-04,54,54,306
125,2022-05-05,93,89,361
126,2022-05-06,80,78,363
127,2022-05-07,38,37,260
128,2022-05-08,32,32,228
129,2022-05-09,173,166,623
130,2022-05-10,93,91,394
131,2022-05-11,111,109,461
132,2022-05-12,225,220,682
133,2022-05-13,66,66,322
134,2022-05-14,30,30,207
135,2022-05-15,46,46,279
136,2022-05-16,109,107,479
137,2022-05-17,124,123,473
138,2022-05-18,105,105,403
139,2022-05-19,69,69,326
140,2022-05-20,68,57,338
141,2022-05-21,42,42,260
142,2022-05-22,47,45,235
143,2022-05-23,76,76,350
144,2022-05-24,77,77,372
145,2022-05-25,61,61,326
146,2022-05-26,63,58,327
147,2022-05-27,98,93,408
148,2022-05-28,45,45,245
149,2022-05-29,45,44,241
150,2022-05-30,140,134,519
151,2022-05-31,78,77,367
152,2022-06-01,130,128,458
153,2022-06-02,163,151,554
154,2022-06-03,68,65,371
155,2022-06-04,22,22,206
156,2022-06-05,21,20,164
157,2022-06-06,106,99,413
158,2022-06-07,72,71,365
159,2022-06-08,87,84,371
160,2022-06-09,42,42,240
161,2022-06-10,55,51,271
162,2022-06-11,24,24,195
163,2022-06-12,23,23,178
164,2022-06-13,113,95,438
165,2022-06-14,71,71,322
166,2022-06-15,71,70,307
167,2022-06-16,66,65,316
168,2022-06-17,98,96,385
169,2022-06-18,28,28,216
170,2022-06-19,40,40,212
171,2022-06-20,77,76,304
172,2022-06-21,63,60,291
173,2022-06-22,92,90,341
174,2022-06-23,112,103,373
175,2022-06-24,60,55,277
176,2022-06-25,37,37,230
177,2022-06-26,31,31,200
178,2022-06-27,131,127,483
179,2022-06-28,130,125,463
180,2022-06-29,89,84,349
181,2022-06-30,86,86,356
182,2022-07-01,59,56,276
