country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-01-05,113746.39680000002,5,220.74437995465252,115898,525.0326192848439,437698
Spain,ESP,2022-01-06,113746.39680000002,6,215.7859976221215,117028,542.3336142734164,427867
Spain,ESP,2022-01-07,113746.39680000002,7,210.3446093039976,118530,563.503863456259,417077
Spain,ESP,2022-01-08,113746.39680000002,8,204.724982783771,120353,587.8764690243786,405935
Spain,ESP,2022-01-09,127957.488,9,199.25314067252924,122346,614.022943814344,395085
Spain,ESP,2022-01-10,127957.488,10,194.0118154289289,124298,640.672320524382,384692
Spain,ESP,2022-01-11,127957.488,11,188.5430552575443,126040,668.4945241172264,373849
Spain,ESP,2022-01-12,127957.488,12,181.7734376760105,127543,701.6591732579224,360426
Spain,ESP,2022-01-13,127957.488,13,172.35372718136705,128912,747.9501726373836,341748
Spain,ESP,2022-01-14,127957.488,14,159.3290450386572,130291,817.7479502772903,315922
Spain,ESP,2022-01-15,127957.488,15,142.7872205958685,131729,922.5545497018487,283123
Spain,ESP,2022-01-16,137134.008,16,124.08265248045123,133134,1072.9461156624998,246035
Spain,ESP,2022-01-17,137134.008,17,105.45637325084138,134297,1273.4839617569394,209102
Spain,ESP,2022-01-18,137134.008,18,89.24413837097471,134975,1512.4242607276776,176956
Spain,ESP,2022-01-19,137134.008,19,77.11709047737173,134966,1750.1438288780191,152910
Spain,ESP,2022-01-20,137134.008,20,69.73318181043949,134160,1923.9047540480278,138269
Spain,ESP,2022-01-21,137134.008,21,66.86457153845595,132581,1982.828827726032,132581
Spain,ESP,2022-01-22,137134.008,22,67.78267786589869,130403,1923.8396018816106,134401
Spain,ESP,2022-01-23,121489.9344,23,71.6279147575456,127907,1785.7144164108968,142026
Spain,ESP,2022-01-24,121489.9344,24,77.62666027761462,125348,1614.7545128403121,153920
Spain,ESP,2022-01-25,121489.9344,25,85.16888866511985,122801,1441.8527930175053,168875
Spain,ESP,2022-01-26,121489.9344,26,93.8113928144367,120080,1280.0151068807156,186012
Spain,ESP,2022-01-27,121489.9344,27,103.24391239291984,116840,1131.6890002709015,204715
Spain,ESP,2022-01-28,121489.9344,28,113.22960544168086,112821,996.3913550693126,224515
Spain,ESP,2022-01-29,121489.9344,29,123.54365724351621,108072,874.7676927434638,244966
Spain,ESP,2022-01-30,89710.3104,30,133.95032259156832,102982,768.8074056678855,265601
Spain,ESP,2022-01-31,89710.3104,31,144.23493207543726,98057,679.842244794864,285993
Spain,ESP,2022-02-01,89710.3104,32,154.25512435048861,93587,606.7026971976478,305862
Spain,ESP,2022-02-02,89710.3104,33,163.95463296622808,89456,545.6143469786941,325094
Spain,ESP,2022-02-03,89710.3104,34,173.32731503147212,85231,491.7343811881242,343678
Spain,ESP,2022-02-04,89710.3104,35,182.38796496737956,80498,441.3558757256666,361644
Spain,ESP,2022-02-05,89710.3104,36,191.2231141135581,75182,393.1637676152114,379163
Spain,ESP,2022-02-06,55020.71519999999,37,200.12961829684212,69640,347.9744807023342,396823
