t,t_sd,phi,sampleSize,num_mut,daysPerBin,haplotypes,n_mut_types,binning,date
4,1.8430350374821498,328.86181640625057,300,300,7,282,1231,eq_days_7,2022-01-05
6,3.0067217928916574,186.41386718750033,400,400,12,368,1392,eq_size_400,2022-01-07
7,3.951660880947328,221.48876953125037,504,504,14,467,1525,eq_days_14,2022-01-08
9,5.433495691509729,123.13808593750021,650,650,18,570,1672,eq_size_650,2022-01-10
10,6.021316227763189,105.20537109375016,733,733,21,633,1759,eq_days_21,2022-01-11
11,1.7582236300416219,311.0016601562505,204,204,7,195,968,eq_days_7,2022-01-12
13,7.762452196509622,91.02607421875015,850,850,31,743,1898,eq_size_850,2022-01-14
18,1.432005481723412,52.49882812500009,229,229,7,178,902,eq_days_7,2022-01-19
20,3.8706011563176976,53.63457031250009,335,335,14,277,1187,eq_days_14,2022-01-21
20,4.8033763970805,52.59384765625009,400,400,20,339,1285,eq_size_400,2022-01-21
25,1.6342031532498156,104.67089843750016,106,106,7,99,631,eq_days_7,2022-01-26
32,6.104189472385962,154.38369140625028,287,287,21,275,1017,eq_days_21,2022-02-02
37,3.5096551907574995,225.42802734375036,181,181,14,176,717,eq_days_14,2022-02-07
38,10.426150440795691,176.33808593750024,650,650,35,618,1506,eq_size_650,2022-02-08
39,1.662338702963379,186.9391601562503,105,105,7,101,485,eq_days_7,2022-02-09
43,5.043808085167386,272.45947265625045,400,400,20,386,1022,eq_size_400,2022-02-13
46,1.9020019262745942,550.2031250000009,219,219,7,213,640,eq_days_7,2022-02-16
50,4.342290591242298,212.13388671875032,465,465,14,432,966,eq_days_14,2022-02-20
51,9.03871408923259,182.46640625000032,850,850,35,798,1495,eq_size_850,2022-02-21
53,6.154997188776191,205.36201171875035,638,638,21,595,1162,eq_days_21,2022-02-23
54,1.383139363221186,193.02451171875032,246,246,7,226,623,eq_days_7,2022-02-24
58,3.928174051445035,219.24121093750034,400,400,14,376,832,eq_size_400,2022-02-28
61,1.750060010877422,696.1668945312512,173,173,7,170,532,eq_days_7,2022-03-03
63,5.990161425062359,242.62177734375038,650,650,20,610,1131,eq_size_650,2022-03-05
65,3.7438813218696883,396.7889648437507,446,446,14,429,923,eq_days_14,2022-03-07
68,1.5435396153903085,506.5102539062508,273,273,7,263,684,eq_days_7,2022-03-10
71,2.828904470153277,563.150000000001,400,400,9,385,859,eq_size_400,2022-03-13
75,1.628354874458837,411.5708007812507,436,436,7,406,897,eq_days_7,2022-03-17
75,4.388003050968233,292.29238281250053,850,850,16,781,1298,eq_size_850,2022-03-17
76,5.593883071257718,214.5701171875004,1161,1161,21,1033,1551,eq_days_21,2022-03-18
78,1.8765653449145705,385.62167968750066,400,400,7,373,867,eq_size_400,2022-03-20
78,2.7468641273415995,379.3143554687507,650,650,9,595,1141,eq_size_650,2022-03-20
78,3.610394437953152,248.8402343750004,888,888,14,791,1340,eq_days_14,2022-03-20
82,1.6403524129572713,201.1590820312503,452,452,7,392,855,eq_days_7,2022-03-24
86,1.9846386892371715,228.60273437500038,400,400,6,351,812,eq_size_400,2022-03-28
87,2.528579794222372,283.34960937500057,650,650,9,579,1139,eq_size_650,2022-03-29
89,3.6532147441888,220.84921875000038,850,848,13,743,1316,eq_size_850,2022-03-31
89,1.5857421499488333,475.82841796875095,514,514,7,478,1014,eq_days_7,2022-03-31
91,2.163863619642196,528.145605468751,400,398,7,378,895,eq_size_400,2022-04-02
92,3.772987608284027,277.2367187500005,920,918,14,824,1398,eq_days_14,2022-04-03
93,5.098320294179628,208.63740234375032,1099,1092,21,975,1567,eq_days_21,2022-04-04
95,1.5278576383565998,277.2147460937505,406,404,7,367,832,eq_days_7,2022-04-06
98,4.292667905628709,145.0218750000002,650,642,18,574,1139,eq_size_650,2022-04-09
100,3.5277054176595364,172.66601562500026,400,394,13,363,855,eq_size_400,2022-04-11
102,1.5197525641961078,163.83691406250028,179,174,7,162,518,eq_days_7,2022-04-13
106,6.380691813520129,154.14863281250024,850,844,21,750,1421,eq_size_850,2022-04-17
107,4.276797813617966,164.9897460937503,563,557,14,499,1108,eq_days_14,2022-04-18
110,1.6904659571568892,247.31015625000038,384,383,7,346,888,eq_days_7,2022-04-21
111,1.8238860025714188,248.27148437500037,400,400,7,360,913,eq_size_400,2022-04-22
115,3.871898005958218,283.79638671875057,650,650,14,602,1315,eq_size_650,2022-04-26
117,1.692848363020307,517.8174804687509,303,303,7,291,845,eq_days_7,2022-04-28
117,6.07806741040756,290.5931640625006,1050,1049,21,968,1790,eq_days_21,2022-04-28
120,2.8290019228871577,778.5879882812512,400,400,9,389,1056,eq_size_400,2022-05-01
121,4.081793998385122,628.531640625001,666,666,14,642,1421,eq_days_14,2022-05-02
124,1.7934913196466213,1310.1218750000023,363,363,7,356,970,eq_days_7,2022-05-05
125,4.1509760409362935,739.3358398437513,850,850,15,819,1679,eq_size_850,2022-05-06
127,1.6573675415911244,1013.6700195312518,400,400,5,385,1080,eq_size_400,2022-05-08
128,2.281702368563437,1266.4258789062524,650,650,8,630,1462,eq_size_650,2022-05-09
131,0.8110723431757866,2335.7639648437553,400,400,3,389,1053,eq_size_400,2022-05-12
131,1.6565478090527328,1319.5612304687525,738,738,7,710,1547,eq_days_7,2022-05-12
133,3.720003844777451,786.8975585937516,1289,1289,14,1219,2039,eq_days_14,2022-05-14
134,2.22275025662592,1526.745019531253,650,650,7,631,1384,eq_size_650,2022-05-15
136,1.5363188761526976,1437.2046875000028,400,400,6,391,1068,eq_size_400,2022-05-17
136,2.8025013324816817,894.4185546875015,850,850,10,812,1626,eq_size_850,2022-05-17
136,5.8830615719631565,610.0946289062509,1753,1753,21,1643,2387,eq_days_21,2022-05-17
137,1.6579467207433414,815.3569335937515,551,551,7,526,1275,eq_days_7,2022-05-18
142,1.9303927165476618,533.655078125001,400,400,7,380,1050,eq_size_400,2022-05-23
144,1.951484578666475,624.800585937501,464,464,7,441,1161,eq_days_7,2022-05-25
144,2.881104117171261,429.43085937500075,650,650,11,609,1421,eq_size_650,2022-05-25
148,1.5791879515960596,372.82783203125064,400,400,6,368,1016,eq_size_400,2022-05-29
148,3.222344560863324,478.81572265625084,850,850,11,788,1608,eq_size_850,2022-05-29
149,3.9137767575751257,424.3901367187508,1133,1133,14,1037,1883,eq_days_14,2022-05-30
151,1.7255207439896105,508.06367187500086,669,669,7,613,1353,eq_days_7,2022-06-01
152,1.8515417112627262,435.6050781250008,650,650,8,596,1332,eq_size_650,2022-06-02
153,1.0456707504256517,642.837988281251,400,400,5,377,991,eq_size_400,2022-06-03
158,1.651019324145865,339.86875000000055,405,405,7,374,979,eq_days_7,2022-06-08
158,4.041408338952658,249.7575195312504,850,850,13,755,1560,eq_size_850,2022-06-08
158,6.230901166519691,260.67236328125034,1540,1540,21,1357,2140,eq_days_21,2022-06-08
159,1.7327452250800097,370.5209960937507,400,400,7,372,978,eq_size_400,2022-06-09
162,4.016970151368556,238.6403320312504,871,871,14,774,1532,eq_days_14,2022-06-12
163,3.174123478284823,266.0934570312504,650,650,11,587,1309,eq_size_650,2022-06-13
166,1.4949182926683293,337.84746093750056,400,400,5,359,934,eq_size_400,2022-06-16
166,1.7877498863629855,301.04443359375045,466,466,7,421,1047,eq_days_7,2022-06-16
172,1.5628018505428432,432.27451171875066,400,400,6,372,840,eq_size_400,2022-06-22
172,3.66226438421246,300.1881835937505,850,850,13,769,1354,eq_size_850,2022-06-22
173,1.7431912857724525,374.43105468750065,472,472,7,434,939,eq_days_7,2022-06-23
174,2.6662460653644624,327.92929687500066,650,650,10,593,1140,eq_size_650,2022-06-24
178,1.4585135943013767,468.8661132812508,400,400,6,374,943,eq_size_400,2022-06-28
180,1.0971488769903175,728.5924804687513,364,364,4,343,859,eq_size_650,2022-06-30
180,1.0971488769903175,728.5924804687513,364,364,4,343,859,eq_size_850,2022-06-30
181,0.49295807411508036,1265.9530273437522,145,145,2,141,470,eq_size_400,2022-07-01
