t,date,smoothed_phi
4,2022-01-05,245.53665667038962
5,2022-01-06,229.53123717582724
6,2022-01-07,214.03649701634367
7,2022-01-08,200.757698905592
8,2022-01-09,191.37743213456662
9,2022-01-10,186.86371167403348
10,2022-01-11,187.00100248506828
11,2022-01-12,190.3146254496948
12,2022-01-13,193.63266387622588
13,2022-01-14,189.90506612629142
14,2022-01-15,166.45307495766698
15,2022-01-16,121.22682656884264
16,2022-01-17,81.61669019168261
17,2022-01-18,62.67205749817639
18,2022-01-19,56.313222091928225
19,2022-01-20,54.99199745934354
20,2022-01-21,55.9620756340404
21,2022-01-22,58.934436891780926
22,2022-01-23,64.54214568236621
23,2022-01-24,73.07820194781408
24,2022-01-25,83.25965488543156
25,2022-01-26,92.82820340615905
26,2022-01-27,101.07157597324326
27,2022-01-28,109.90929742327205
28,2022-01-29,122.02142801060667
29,2022-01-30,136.31487993774613
30,2022-01-31,147.99005930470148
31,2022-02-01,155.99179223322722
32,2022-02-02,163.19681858203262
33,2022-02-03,172.33170677020368
34,2022-02-04,183.80006267591864
35,2022-02-05,194.99611799155235
36,2022-02-06,202.88514621292842
37,2022-02-07,207.33347550869792
38,2022-02-08,210.84329824986537
39,2022-02-09,217.09821931062044
40,2022-02-10,230.4253559508059
41,2022-02-11,254.55999895020824
42,2022-02-12,289.65213853240886
43,2022-02-13,330.6777471224477
44,2022-02-14,369.76202277841065
45,2022-02-15,398.41829033310506
46,2022-02-16,407.8016396528337
47,2022-02-17,391.07316036687644
48,2022-02-18,350.16099978970004
49,2022-02-19,299.4685953198653
50,2022-02-20,256.37127131613215
51,2022-02-21,228.53532179178086
52,2022-02-22,213.95533278776156
53,2022-02-23,208.22487401599446
54,2022-02-24,209.22251771274114
55,2022-02-25,218.51993258487113
56,2022-02-26,240.83358844325767
57,2022-02-27,279.9029348054505
58,2022-02-28,331.3398569635872
59,2022-03-01,381.58599998641444
60,2022-03-02,416.7507069265323
61,2022-03-03,431.03750956193795
62,2022-03-04,428.1553124181977
63,2022-03-05,417.604055413903
64,2022-03-06,409.67239514228913
65,2022-03-07,411.7003702553277
66,2022-03-08,426.0167836412074
67,2022-03-09,449.2957107624152
68,2022-03-10,473.68697754213827
69,2022-03-11,489.3515122245012
70,2022-03-12,487.15629072370893
71,2022-03-13,462.89726167977255
72,2022-03-14,423.13507375576995
73,2022-03-15,382.7427463482471
74,2022-03-16,352.62452803672534
75,2022-03-17,334.3947894404287
76,2022-03-18,324.72643992288704
77,2022-03-19,319.6170467790448
78,2022-03-20,315.6153596015368
79,2022-03-21,309.6721039257116
80,2022-03-22,299.14183525841474
81,2022-03-23,283.08468147392614
82,2022-03-24,265.29065728237987
83,2022-03-25,254.93654401551663
84,2022-03-26,258.35111421645126
85,2022-03-27,272.25896363542745
86,2022-03-28,290.141411885112
87,2022-03-29,308.05768435793743
88,2022-03-30,323.8138058635915
89,2022-03-31,335.2412022790487
90,2022-04-01,340.08868942886534
91,2022-04-02,336.97010152368796
92,2022-04-03,326.1042705074409
93,2022-04-04,308.9738982783412
94,2022-04-05,287.21725222540897
95,2022-04-06,261.99790710797674
96,2022-04-07,234.86567568704922
97,2022-04-08,209.15894895432479
98,2022-04-09,188.97222005721318
99,2022-04-10,176.0877160650744
100,2022-04-11,169.26501999001397
101,2022-04-12,166.1085571119663
102,2022-04-13,164.69293667551378
103,2022-04-14,164.21222915262916
104,2022-04-15,165.0772175519517
105,2022-04-16,168.37161036360783
106,2022-04-17,174.9442479860084
107,2022-04-18,184.98294143298025
108,2022-04-19,197.94719232603725
109,2022-04-20,212.70125734663628
