accession,lineage,scorpio_name
EPI_ISL_13300905,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16233256,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16233111,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_13292986,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_15030399,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_12130732,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_14728953,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_13292713,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14728068,BA.4,Omicron (BA.4-like)
EPI_ISL_16197526,BA.4,Omicron (BA.4-like)
EPI_ISL_16232876,BA.4,Omicron (BA.4-like)
EPI_ISL_13328891,BA.4,Omicron (BA.4-like)
EPI_ISL_16438729,BA.4,Omicron (BA.4-like)
EPI_ISL_15498514,AY.43,Delta (B.1.617.2-like)
EPI_ISL_9793082,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211638,BA.2.3.5,Omicron (BA.2-like)
EPI_ISL_12351647,BA.1.18,Omicron (BA.1-like)
EPI_ISL_15497544,BA.1.18,Omicron (BA.1-like)
EPI_ISL_15497597,BA.1.18,Omicron (BA.1-like)
EPI_ISL_10934683,BA.1.18,Omicron (BA.1-like)
EPI_ISL_14729097,BA.5.1,Omicron (BA.5-like)
EPI_ISL_16197917,BA.2,Omicron (BA.2-like)
EPI_ISL_16197955,BA.2,Omicron (BA.2-like)
EPI_ISL_13292837,BA.2,Omicron (BA.2-like)
EPI_ISL_16239511,BA.2.56,Omicron (BA.2-like)
EPI_ISL_14728012,BA.2.56,Omicron (BA.2-like)
EPI_ISL_16195646,BA.2,Omicron (BA.2-like)
EPI_ISL_15497452,BA.2,Omicron (BA.2-like)
EPI_ISL_16197290,BA.2,Omicron (BA.2-like)
EPI_ISL_16212049,BA.2,Omicron (BA.2-like)
EPI_ISL_13292747,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16471217,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16197847,BA.2,Omicron (BA.2-like)
EPI_ISL_16239732,BA.2,Omicron (BA.2-like)
EPI_ISL_13829456,BA.2,Omicron (BA.2-like)
EPI_ISL_16196146,BA.2,Omicron (BA.2-like)
EPI_ISL_16197874,BA.1.1,Omicron (BA.1-like)
EPI_ISL_12351738,BA.2,Omicron (BA.2-like)
EPI_ISL_16181105,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16211403,BA.2,Omicron (BA.2-like)
EPI_ISL_14729393,BA.2.13,Omicron (BA.2-like)
EPI_ISL_16211857,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16438564,AY.43,Delta (B.1.617.2-like)
EPI_ISL_9909419,AY.43,Delta (B.1.617.2-like)
EPI_ISL_16197412,BA.2,Omicron (BA.2-like)
EPI_ISL_13300987,BA.2,Omicron (BA.2-like)
EPI_ISL_16239632,BA.2,Omicron (BA.2-like)
EPI_ISL_13292580,BA.2.5,Omicron (BA.2-like)
EPI_ISL_16438528,BA.2.54,Omicron (BA.2-like)
EPI_ISL_16212073,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498679,BA.2.9,Omicron (BA.2-like)
EPI_ISL_10856750,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16196768,BA.2.9.6,Omicron (BA.2-like)
EPI_ISL_16438751,BA.2,Omicron (BA.2-like)
EPI_ISL_16211725,BA.2,Omicron (BA.2-like)
EPI_ISL_14727683,BA.5.1,Omicron (BA.5-like)
EPI_ISL_12351687,BA.2.9,Omicron (BA.2-like)
EPI_ISL_14728093,BA.5.1,Omicron (BA.5-like)
EPI_ISL_9620279,AY.43.8,Delta (B.1.617.2-like)
EPI_ISL_13300978,BA.2.3,Omicron (BA.2-like)
EPI_ISL_14727644,BA.2.23,Omicron (BA.2-like)
EPI_ISL_15498461,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16438657,BA.2.9,Omicron (BA.2-like)
EPI_ISL_14727681,BA.5.1.22,Omicron (BA.5-like)
EPI_ISL_15498456,BA.2,Omicron (BA.2-like)
EPI_ISL_16438552,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16195068,BA.2,Omicron (BA.2-like)
EPI_ISL_16233153,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197158,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498504,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16212098,BA.2.9,Omicron (BA.2-like)
EPI_ISL_14727982,BA.2,Omicron (BA.2-like)
EPI_ISL_9612972,AY.122,Delta (B.1.617.2-like)
EPI_ISL_16239590,BA.2,Omicron (BA.2-like)
EPI_ISL_10856836,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_16196105,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_16211937,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_14727605,BA.5.2.1,Omicron (BA.5-like)
EPI_ISL_14729230,BA.5.1,Omicron (BA.5-like)
EPI_ISL_12324305,AY.9.2,Delta (B.1.617.2-like)
EPI_ISL_14729445,BA.2,Omicron (BA.2-like)
EPI_ISL_15498324,BA.2,Omicron (BA.2-like)
EPI_ISL_16195585,BA.1.1,Omicron (BA.1-like)
EPI_ISL_15497108,BA.1.1,Omicron (BA.1-like)
EPI_ISL_16196990,BA.2,Omicron (BA.2-like)
EPI_ISL_16211317,BA.2,Omicron (BA.2-like)
EPI_ISL_12324303,AY.4,Delta (AY.4-like)
EPI_ISL_14729193,BA.5.1,Omicron (BA.5-like)
EPI_ISL_13292715,BA.5.1,Omicron (BA.5-like)
EPI_ISL_14729336,BA.2.3,Omicron (BA.2-like)
EPI_ISL_16240406,BA.2,Omicron (BA.2-like)
EPI_ISL_12351841,BA.2,Omicron (BA.2-like)
EPI_ISL_15497548,BA.2,Omicron (BA.2-like)
EPI_ISL_16196862,BA.2,Omicron (BA.2-like)
EPI_ISL_16233036,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15156767,BA.2,Omicron (BA.2-like)
EPI_ISL_12958928,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16438999,BA.2.9,Omicron (BA.2-like)
EPI_ISL_13292610,BA.2,Omicron (BA.2-like)
EPI_ISL_12351568,BA.2,Omicron (BA.2-like)
EPI_ISL_15498067,BA.2,Omicron (BA.2-like)
EPI_ISL_13292698,BA.1,Omicron (BA.1-like)
EPI_ISL_16196843,BA.1,Omicron (BA.1-like)
EPI_ISL_13292571,BA.2.5,Omicron (BA.2-like)
EPI_ISL_16233166,BA.2,Omicron (BA.2-like)
EPI_ISL_16196090,BA.2,Omicron (BA.2-like)
EPI_ISL_15497998,BA.1.18,Omicron (BA.1-like)
EPI_ISL_16197486,BA.1.18,Omicron (BA.1-like)
EPI_ISL_9320296,AY.20,Delta (B.1.617.2-like)
EPI_ISL_13292604,BA.2,Omicron (BA.2-like)
EPI_ISL_13292846,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16197013,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16196900,BA.2,Omicron (BA.2-like)
EPI_ISL_16196848,BA.2.18,Omicron (BA.2-like)
EPI_ISL_12829137,BA.2.18,Omicron (BA.2-like)
EPI_ISL_16233295,BA.2.18,Omicron (BA.2-like)
EPI_ISL_16233596,BA.2,Omicron (BA.2-like)
EPI_ISL_12324311,AY.123,Delta (B.1.617.2-like)
EPI_ISL_10856774,BA.1.17,Omicron (BA.1-like)
EPI_ISL_9620243,BA.1.17,Omicron (BA.1-like)
EPI_ISL_16196060,BA.1.1,Omicron (BA.1-like)
EPI_ISL_15497135,AY.36,Delta (B.1.617.2-like)
EPI_ISL_9083219,AY.36,Delta (B.1.617.2-like)
EPI_ISL_14729460,BA.5.1.3,Omicron (BA.5-like)
EPI_ISL_13293097,BA.5.1.3,Omicron (BA.5-like)
EPI_ISL_16438540,BA.5.1.3,Omicron (BA.5-like)
EPI_ISL_16197753,BA.2,Omicron (BA.2-like)
EPI_ISL_16195941,BA.1.1,Omicron (BA.1-like)
EPI_ISL_15498662,BA.5.1.23,Omicron (BA.5-like)
EPI_ISL_16211435,BA.2.9,Omicron (BA.2-like)
EPI_ISL_15498596,BA.2.9,Omicron (BA.2-like)
EPI_ISL_16196123,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_13002244,BA.2.12.1,Omicron (BA.2-like)
EPI_ISL_16197445,BA.1.1,Omicron (BA.1-like)
EPI_ISL_16438581,BA.2,Omicron (BA.2-like)
EPI_ISL_14729416,BA.2,Omicron (BA.2-like)
EPI_ISL_16195965,BA.1.17,Omicron (BA.1-like)
EPI_ISL_12351638,BA.2,Omicron (BA.2-like)
EPI_ISL_16471234,BA.2.3.5,Omicron (BA.2-like)
EPI_ISL_13293066,BA.2,Omicron (BA.2-like)
EPI_ISL_14729437,BA.2,Omicron (BA.2-like)
EPI_ISL_16178065,AY.43,Delta (B.1.617.2-like)
EPI_ISL_10906992,AY.4,Delta (AY.4-like)
