accession,lineage
EPI_ISL_13714482,BA.2
EPI_ISL_12995578,BA.2.9
EPI_ISL_12683683,BA.1.18
EPI_ISL_12279366,BA.2.9
EPI_ISL_11497317,AY.43
EPI_ISL_13085056,BA.2.3
EPI_ISL_13376144,BA.2.12.1
EPI_ISL_12641778,BA.2.9.5
EPI_ISL_11563522,BA.1.1.1
EPI_ISL_10099492,AY.43
EPI_ISL_13262904,BA.2
EPI_ISL_13363046,BA.2
EPI_ISL_10312294,BA.1.18
EPI_ISL_13086155,BA.2
EPI_ISL_12152790,BA.2
EPI_ISL_13253771,BA.2.9
EPI_ISL_13086065,BA.2
EPI_ISL_10312883,AY.98.1
EPI_ISL_12441773,BA.2
EPI_ISL_10313569,AY.5.4
EPI_ISL_12996090,BA.5.1
EPI_ISL_12683683,BA.2.3
EPI_ISL_13085056,BA.2.9
EPI_ISL_12995578,AY.43
EPI_ISL_11497317,AY.43
EPI_ISL_12641778,BA.2.12.1
EPI_ISL_13376144,BA.2.12.1
EPI_ISL_12279366,BA.2.9
EPI_ISL_13714482,BA.2.9
EPI_ISL_13363046,AY.43
EPI_ISL_10099492,AY.43
EPI_ISL_10312294,BA.1.1.1
EPI_ISL_13086155,BA.1.1.1
EPI_ISL_13262904,BA.1.1.1
EPI_ISL_11563522,BA.1.1.1
EPI_ISL_12152790,BA.2.9
EPI_ISL_13253771,BA.2.9
EPI_ISL_13086065,AY.98.1
EPI_ISL_10312883,AY.98.1
EPI_ISL_12441773,BA.5.1
EPI_ISL_10313569,AY.43
EPI_ISL_12996090,AY.43
EPI_ISL_8811155,AY.43
EPI_ISL_13271314,BA.2
EPI_ISL_13842731,BA.5.2.2
EPI_ISL_11225540,AY.122.6
EPI_ISL_9320712,AY.43
EPI_ISL_12083209,BA.2
EPI_ISL_13271101,BA.2
EPI_ISL_12064993,BA.2
EPI_ISL_12583774,AY.5.4
EPI_ISL_11372081,AY.5.4
EPI_ISL_13713856,BA.2
EPI_ISL_11504055,AY.43
EPI_ISL_12152787,BA.2
EPI_ISL_11273542,BA.2.12
EPI_ISL_12709295,BA.2
EPI_ISL_13514955,BA.2
EPI_ISL_12157412,BA.2
EPI_ISL_12812143,BA.2
